nodejoin id=11000010, ip=QZHHTXFEP9WH, port=10111
nodejoin id=110111001000, ip=FCFO2LOGELYO, port=11110
nodejoin id=110001000011, ip=8B4JPSKITNH0, port=1111
nodejoin id=100010101000, ip=ZSBV3AI7J4P6, port=11001
nodejoin id=11011110111, ip=8LBIX2PFTC7U, port=10101
nodejoin id=111100000010, ip=SONKQKFTRHUT, port=111
nodejoin id=1011001100, ip=YF3XMES4JUOW, port=1010
nodejoin id=100101111011, ip=MX92SYWNAKS5, port=10110
nodejoin id=1111111110, ip=15793A4C0S46, port=11100
nodejoin id=101011000110, ip=Q24ATBOAGNSM, port=1100
nodejoin id=101001011101, ip=MWSEOTTBAZ9U, port=1100
nodejoin id=111, ip=F4D35L4903N0, port=11110
nodejoin id=1110111000, ip=UXWOWNQI4QLS, port=1101
nodejoin id=101001110000, ip=QJN26LV6PH59, port=10011
nodejoin id=101001010011, ip=SVG2H3ID70VL, port=11101
nodejoin id=101110010101, ip=7RJSF0IONVSV, port=11010
nodejoin id=11001100010, ip=XA5EMOTWL8RW, port=1011
nodejoin id=10110110, ip=VR7IW5EV17WD, port=11111
nodejoin id=10001011101, ip=VXHBURI2SQ44, port=11011
nodejoin id=101011001101, ip=QYQZ0RHNF34C, port=11011
nodejoin id=11011011000, ip=VBZI55B4QPF6, port=11111
nodejoin id=11110, ip=HXWJMWAQRZ03, port=11000
nodejoin id=100110111011, ip=TGDOL24Y50JI, port=10110
nodejoin id=0, ip=SDYXKOT39Y26, port=11000
nodejoin id=11000011011, ip=JM4MDF9GK80F, port=11001
nodejoin id=10101101, ip=WJBENL6OSKQV, port=1001
nodejoin id=1111, ip=ZWNQ2YXNMYCI, port=1011
nodejoin id=110000101001, ip=JYJSFJKNKJQ5, port=11011
nodejoin id=100100110000, ip=M8N4M67NEY5S, port=11
nodejoin id=101001000111, ip=U95VTF8QHL2U, port=1101
nodejoin id=10001000110, ip=IWV0SGKZSYU5, port=100
nodejoin id=10100100101, ip=MDHCOGUZE4YW, port=11111
nodejoin id=1101110101, ip=NC6BZTNAI16N, port=1011
nodejoin id=10111110010, ip=BNS1KUN30YK2, port=111
nodejoin id=100100011011, ip=SF5LJCTHKK5A, port=11000
nodejoin id=10010011111, ip=ZOE91OW4QTEB, port=11000
nodejoin id=11111111010, ip=OKKGAYI1KQ4G, port=10111
nodejoin id=1000000111, ip=66LSYUTXE443, port=10101
nodejoin id=100100011010, ip=L8IELGYRRMOH, port=10
nodejoin id=11010101100, ip=34U94OYR6M72, port=10
nodejoin id=100110000010, ip=YCT5LJV5D5KT, port=1000
nodejoin id=11101010000, ip=JTO8GW2VZZBC, port=11110
nodejoin id=100111011110, ip=TMFBK53JHD7S, port=111
nodejoin id=11000011000, ip=HJ5FIY744XTC, port=1
nodejoin id=100011001011, ip=9R2TH6VFRUQA, port=10100
nodejoin id=111011011111, ip=U2G8IZ6L5SN9, port=1111
nodejoin id=111000110100, ip=M41AH7BYI252, port=1001
nodejoin id=11011011, ip=RWKCMHR32I3B, port=10010
nodejoin id=1110111111, ip=86R45UD6PLB9, port=1100
nodejoin id=10000010011, ip=8XTKHONH1R5L, port=1011
nodejoin id=11001111, ip=8556LBG3BD5S, port=10101
nodejoin id=100000100101, ip=ZNY5C9Y8KRZV, port=10001
nodejoin id=1001010, ip=5SE60ZWQR6KY, port=1010
nodejoin id=1001111100, ip=G1WVW02CVAQ8, port=10110
nodejoin id=1100011100, ip=IK6WLIQMKZ81, port=1011
nodejoin id=110101011100, ip=DVIBO8XUPPQP, port=11
nodejoin id=100100110010, ip=EYOVKOYVLI9Y, port=10100
nodejoin id=111001110011, ip=I4O6IHXB9LD8, port=10010
nodejoin id=101011000010, ip=SC8T24K2GZ5M, port=10010
nodejoin id=1000011000, ip=NKXAKIMYGYOM, port=10000
nodejoin id=111011111011, ip=S166XGRYCPWR, port=10101
nodejoin id=100000011100, ip=00RAUZ40THZI, port=110
nodejoin id=110001101010, ip=0JXS1HJ3E357, port=11100
nodejoin id=10000000100, ip=C1UJFOLT8KEU, port=111
nodejoin id=101111100011, ip=8KL5QK4IZ8JN, port=1101
nodejoin id=100100110100, ip=IS7LP0HG19AX, port=10010
nodejoin id=10110010101, ip=JY9LS8I3NRN7, port=1110
nodejoin id=101010011101, ip=VODS4M8FHSVX, port=1000
nodejoin id=11111100, ip=G8FMROOQJJV6, port=11110
nodejoin id=100011111010, ip=XS7UK9KKJ63W, port=11110
nodejoin id=101101000111, ip=BVGN0T9BQ59A, port=10100
nodejoin id=111101000010, ip=B0HPUJQ64ERN, port=1001
nodejoin id=11, ip=9W6US44BIHJL, port=10101
nodejoin id=10111000, ip=DQ8L7O62W9D9, port=10001
nodejoin id=111000000101, ip=YZB8BO0YA38B, port=10101
nodejoin id=101100001101, ip=ER5U79I36YJP, port=11100
nodejoin id=11010110000, ip=HJ282HQ9DNLL, port=1000
nodejoin id=10000011001, ip=1QIPLM10ZK5G, port=10001
nodejoin id=10100110010, ip=LW2J8QZBAPCW, port=10110
nodejoin id=101011000100, ip=QN4Y44779HS9, port=101
nodejoin id=10110010000, ip=VSVQH77S5OQ7, port=1010
nodejoin id=1001011001, ip=6JEX2TVM9VQJ, port=11100
nodejoin id=101010111110, ip=LF2IHCMJ37ET, port=10
nodejoin id=1100111100, ip=HM1T99F86I3S, port=11101
nodejoin id=101001101011, ip=OSHFERWU1EK2, port=11001
nodejoin id=10111001101, ip=JBRNJJHDST6L, port=11111
nodejoin id=11010001011, ip=6OZLN6G02VRU, port=10000
nodejoin id=110000100, ip=1XENPLF7BCAB, port=10101
nodejoin id=111111101, ip=F2THQWGPPFT2, port=11111
nodejoin id=11001010100, ip=5PKL5QB32IZE, port=10001
nodejoin id=11101110110, ip=9IF6MXBD6CQK, port=1010
nodejoin id=10110010, ip=ZKESTPPN4JVD, port=11110
nodejoin id=110110000010, ip=OSUHB39PPORM, port=11011
nodejoin id=11010011110, ip=BTMBP8ZH6RIJ, port=11001
nodejoin id=111110110111, ip=VKNVVIRM9OY3, port=1001
nodejoin id=11111010001, ip=FZ18HPP5SY78, port=11000
nodejoin id=11101001, ip=52EY6J318VN0, port=11
nodejoin id=110101011110, ip=E4RF4NT141J5, port=101
nodejoin id=110001101110, ip=5K5GN58432F5, port=11111
nodejoin id=11000000110, ip=S4GTQO8Q7LOQ, port=11000
insert localnode=None, key=10011111011, val=1110111011101101
insert localnode=None, key=11101100000, val=100011110101111
insert localnode=None, key=111110011110, val=101100010111111
insert localnode=None, key=111110100010, val=1000100101010101
insert localnode=None, key=110111110001, val=110001100101101
insert localnode=None, key=1111111110, val=1000000011100110
insert localnode=None, key=1101101101, val=1100101010010110
insert localnode=None, key=100010100100, val=1100101111010000
insert localnode=None, key=11110100100, val=100100011101001
insert localnode=None, key=100110000000, val=10101001101000
insert localnode=None, key=1100, val=1110100000011010
insert localnode=None, key=101101100000, val=1001010100100011
insert localnode=None, key=110111100000, val=100001111110000
insert localnode=None, key=101111110100, val=111010010100111
insert localnode=None, key=1100100001, val=101000011011111
insert localnode=None, key=110010011, val=100110110101110
insert localnode=None, key=1110111110, val=101010000011000
insert localnode=None, key=11011110, val=110110100001110
insert localnode=None, key=101100101000, val=1000100110100
insert localnode=None, key=100010111111, val=1101011001001
insert localnode=None, key=101110110011, val=1111100001110001
insert localnode=None, key=11010100101, val=1110010111001001
insert localnode=None, key=101110100101, val=11101000100011
insert localnode=None, key=10001111100, val=11101001
insert localnode=None, key=1111000101, val=1011110111010001
insert localnode=None, key=100001101100, val=1101000000011100
insert localnode=None, key=100000000111, val=1100011011000111
insert localnode=None, key=10110111011, val=10111011010100
insert localnode=None, key=11001100101, val=1000110111110111
insert localnode=None, key=11111101111, val=1010000101010000
insert localnode=None, key=110010001101, val=1001010010000010
insert localnode=None, key=111001010100, val=11010010100010
insert localnode=None, key=111111100100, val=110011001011010
insert localnode=None, key=1101010110, val=1110110110000101
