nodejoin id=110111101011, ip=6FSV6CO88DUO, port=110
nodejoin id=10110111001, ip=3MIIQLBYMV2X, port=1100
nodejoin id=10100111110, ip=9A63ADVKPY6Z, port=10011
nodejoin id=111010110010, ip=5DG6LKYET6G4, port=11100
nodejoin id=111010110010, ip=YDUQOVDCP4VO, port=100
nodejoin id=110000110, ip=EIYKO8MVZ0UL, port=1000
nodejoin id=110011010000, ip=KJAYW02L7UQS, port=11110
nodejoin id=110011111101, ip=88Z5Z2A2RE7J, port=10101
nodejoin id=101011101100, ip=2ITWXKD818G5, port=10110
nodejoin id=111101110101, ip=KS1QALJIQOMB, port=1111
nodejoin id=1101011000, ip=PN1R57840LNA, port=1100
nodejoin id=100101011100, ip=511870DWC2KT, port=10110
nodejoin id=11110110001, ip=7I3GOAF4AU7H, port=111
nodejoin id=10001100000, ip=6RWAR4WKREIT, port=1110
nodejoin id=110101100110, ip=HW5S08VIUG3K, port=1011
nodejoin id=10011101, ip=MGOXFIB4XE1Z, port=10111
nodejoin id=110111110001, ip=7Y58UIRHQLNV, port=101
nodejoin id=100111000100, ip=2Q3KON6RYM3T, port=1111
nodejoin id=100001, ip=B9QPK3GLJ0XD, port=11010
nodejoin id=110010111111, ip=2D55SSYNIH75, port=1111
insert localnode=None, key=1100000000, val=11001011000011
insert localnode=None, key=11000000000, val=1000110111010
insert localnode=None, key=101011110000, val=110000011000010
insert localnode=None, key=110011001100, val=100010001010011
insert localnode=None, key=101001111011, val=1101100001010111
insert localnode=None, key=110110010110, val=110010001001100
insert localnode=None, key=101101111101, val=1110101101001
insert localnode=None, key=1011001111, val=1111001110001111
insert localnode=None, key=1110101000, val=11001001110111
insert localnode=None, key=11111101, val=1110101100101111
insert localnode=None, key=111100110110, val=110000011001010
insert localnode=None, key=1010011011, val=100110011011001
insert localnode=None, key=100010101000, val=11000010011011
insert localnode=None, key=10010110010, val=1111110100111
insert localnode=None, key=10110010100, val=1010101110010000
insert localnode=None, key=1100101101, val=1000100110010111
insert localnode=None, key=110001100000, val=1001011110111000
insert localnode=None, key=110111111100, val=110001000001100
insert localnode=None, key=101000101, val=111010100011010
insert localnode=None, key=1110010010, val=1010111100001
insert localnode=None, key=100110100, val=100101010011101
insert localnode=None, key=1000111101, val=1001101001011100
insert localnode=None, key=110100111101, val=1011000010011000
insert localnode=None, key=111011001, val=10010101010101
insert localnode=None, key=101111100110, val=1110101110101
insert localnode=None, key=100111000000, val=110010000001100
insert localnode=None, key=11001000011, val=1011010111000001
insert localnode=None, key=1001011000, val=11101011001100
insert localnode=None, key=101000110011, val=1101011100011101
insert localnode=None, key=11010100, val=10101011111100
insert localnode=None, key=11111101111, val=1100111110101110
insert localnode=None, key=1100110110, val=101010110100110
insert localnode=None, key=1111100000, val=1111101001011
insert localnode=None, key=110111111100, val=100011011110001
insert localnode=None, key=100100111010, val=110100110100001
insert localnode=None, key=110001100101, val=1110111100011001
insert localnode=None, key=110100100111, val=1101101001101001
