nodejoin id=1001110100, ip=A60C0IISCHDP, port=10100
nodejoin id=10100010, ip=YYJXDKEURYLQ, port=0
nodejoin id=10111111000, ip=8N0TAUH1WE3Q, port=101
nodejoin id=11001010001, ip=NDST0GKX7ZZ7, port=11001
nodejoin id=11010001101, ip=02D1OQRQ1C5N, port=1
nodejoin id=101011111100, ip=JX15MQNQ91V3, port=11111
nodejoin id=101111000110, ip=NX6I3RFMMEEB, port=10011
nodejoin id=11100110111, ip=T7B09SQ03K0H, port=100
nodejoin id=110111100000, ip=SFN61V28C7Q7, port=1100
nodejoin id=100001100101, ip=71L6FGMOYKHY, port=110
nodejoin id=1000101010, ip=65VIP5NE09YB, port=111
nodejoin id=111100000001, ip=DCOH8RKD69ZN, port=1001
nodejoin id=10000000011, ip=7PGNZQVXJEQF, port=10000
nodejoin id=10000001110, ip=WVN7OFDPNAES, port=1101
nodejoin id=101001100110, ip=T0FIAJ19D6T2, port=11000
nodejoin id=101011011110, ip=6H8ZEBQWU0RF, port=11010
nodejoin id=1010000101, ip=REF8NEHZY4ZG, port=110
nodejoin id=111001000011, ip=7037YXDSORTD, port=1100
nodejoin id=10000010001, ip=FTUOJRMM73KX, port=1000
nodejoin id=111110101000, ip=E6NQP4DCEZ9M, port=11
nodejoin id=101111000, ip=FUH40MFUJ24H, port=101
nodejoin id=1110110010, ip=PI6DFBCDQOE5, port=10111
nodejoin id=11110111101, ip=KX5XRDWLVD24, port=1100
nodejoin id=1110100101, ip=Z0M1WOHQETNZ, port=11110
nodejoin id=10111011100, ip=AEAICRXNEZG9, port=11011
nodejoin id=101100111110, ip=JB2JLWHWKY5T, port=10000
nodejoin id=1000110011, ip=WU8SLBYEBL00, port=101
nodejoin id=101110110100, ip=QIV2JQSSPY5Q, port=0
nodejoin id=11101010110, ip=POJ4AYO4RI7W, port=10001
nodejoin id=11100100111, ip=CHHWAJDO1IIG, port=1101
nodejoin id=10000001001, ip=3TGJU8R8UGCG, port=1110
nodejoin id=111000000100, ip=2164F74Y0LQ5, port=10000
nodejoin id=110110000, ip=GOXJ2YMRC6IZ, port=11000
nodejoin id=11010010111, ip=ECD85E8C9335, port=11
