nodejoin id=110011000000, ip=VU5NUEHP756I, port=10
nodejoin id=101101100001, ip=ZR6BALWCH8F9, port=101
nodejoin id=10010001101, ip=PXSRM15WTLT1, port=1101
nodejoin id=110010001010, ip=2AFVAT2NJDHU, port=11110
nodejoin id=11101001010, ip=2YZRUTN0J3OJ, port=11011
nodejoin id=110000010010, ip=9KWVGYYM21P1, port=101
nodejoin id=1001100001, ip=WH54PPEJDTAT, port=11000
nodejoin id=101000100101, ip=AILI0XCXJ6IU, port=111
nodejoin id=10000100000, ip=R48DYEPJOWU9, port=0
nodejoin id=101001010000, ip=QS0GIHN4CCS6, port=1
nodejoin id=10, ip=NEL98W9JFYPX, port=1001
nodejoin id=110110001111, ip=VV2EBSBV8NA9, port=11101
nodejoin id=1100101101, ip=42WO4ZEATQJR, port=11111
nodejoin id=111100100101, ip=UTIUM42GNRP1, port=1000
nodejoin id=111111110111, ip=IOV3AJAPK7D6, port=11
nodejoin id=11000001101, ip=IPPGVDMLXK5Y, port=1101
nodejoin id=101001011100, ip=21MD2R65UYC1, port=11111
nodejoin id=111011011010, ip=L7FLWB248LK4, port=10010
nodejoin id=111110001000, ip=NYHMHJK6KZFS, port=10001
nodejoin id=1010100011, ip=QP4WK7BY8PG1, port=10010
nodejoin id=10010111000, ip=RB3LTVDOYSZS, port=11111
nodejoin id=1011100001, ip=K8U74DUEYV4Q, port=10100
nodejoin id=111111100110, ip=A9DFCKR4GZ9N, port=110
nodejoin id=1101110000, ip=2MQ6P3PGQK35, port=110
nodejoin id=10000111100, ip=YX48Z82086X7, port=10010
nodejoin id=111110111110, ip=CVDDWW95VACU, port=11101
nodejoin id=101001110001, ip=J6A23RLHMUCF, port=10110
nodejoin id=111010001111, ip=8RUW9K6JF4I3, port=10010
nodejoin id=1100110101, ip=VR8K5M0FFJVY, port=11100
nodejoin id=10111010111, ip=WVIRJTPF8URZ, port=10100
nodejoin id=100110001010, ip=49ISN23GVMR1, port=10111
nodejoin id=110110111100, ip=5SPRYNVIZ9YT, port=11100
nodejoin id=11011001100, ip=JCCU5NZRB54V, port=110
nodejoin id=1110010110, ip=90BAEJHXR78J, port=101
nodejoin id=10000010101, ip=8O0X6TMH9C0A, port=11101
nodejoin id=11110110110, ip=MCIJWD2OPVDI, port=11001
nodejoin id=100101010000, ip=KWYO90S9GJXZ, port=11010
nodejoin id=110101010, ip=2FMKQ8W3RIBK, port=10110
nodejoin id=101111100, ip=LIQCGQ5AV8O4, port=11
nodejoin id=100100111011, ip=5U3KZDVE0YCK, port=0
nodejoin id=111110011, ip=VAWPXV29DSGY, port=11000
nodejoin id=1111001111, ip=MTFDYAX1BIAY, port=101
nodejoin id=10111011111, ip=2AB3BVC9NT6W, port=1
nodejoin id=1110101000, ip=FBUYUTVN7WQ5, port=1000
nodejoin id=101010001, ip=T7TH043JEMWX, port=111
nodejoin id=100110111010, ip=LP7HO0VVQ7SZ, port=1011
nodejoin id=100101010001, ip=LLAQAKYI9T8K, port=100
nodejoin id=100101100, ip=D5N6AAMW7K71, port=11101
nodejoin id=101110011010, ip=KCJ4P8PAOPOW, port=10001
nodejoin id=1110101100, ip=YTK3G89T3HH1, port=11001
insert localnode=None, key=10111111000, val=1000010101111000
insert localnode=None, key=110001011000, val=1011100011110110
insert localnode=None, key=111101101000, val=1011111000000111
insert localnode=None, key=101111011000, val=1100100111101
insert localnode=None, key=100011111101, val=1010101111001100
insert localnode=None, key=100100001100, val=1010100101001
insert localnode=None, key=111001101011, val=1010011101010011
insert localnode=None, key=11001110110, val=101111011000011
insert localnode=None, key=10110001000, val=1110010001111111
insert localnode=None, key=111110101100, val=11010111100110
insert localnode=None, key=100011010111, val=1000001000100
insert localnode=None, key=110101101111, val=1000010001111101
insert localnode=None, key=11010000101, val=1010100110110000
insert localnode=None, key=11111110110, val=1011101110001000
insert localnode=None, key=110110101000, val=1010001010010110
insert localnode=None, key=1111110100, val=1111110010101010
insert localnode=None, key=1, val=1110100111001010
insert localnode=None, key=100001111010, val=10011000000101
insert localnode=None, key=11101111, val=1100000101110
insert localnode=None, key=11010010010, val=110101101000110
insert localnode=None, key=10111111010, val=1001101000101
insert localnode=None, key=100011110111, val=100111010111
insert localnode=None, key=110101111111, val=1011101101011011
insert localnode=None, key=101010110, val=110111001101001
insert localnode=None, key=111100001001, val=10110101100010
insert localnode=None, key=1101110, val=100111100011101
insert localnode=None, key=100110110010, val=10010001001001
insert localnode=None, key=10000101110, val=1010011110101
insert localnode=None, key=1100001000, val=100111011110111
insert localnode=None, key=1101101010, val=111111000101011
insert localnode=None, key=10111001001, val=101110000110001
insert localnode=None, key=110011101001, val=1101100011001100
insert localnode=None, key=111100101100, val=1111000100101101
insert localnode=None, key=10010100, val=1110100001001010
insert localnode=None, key=110111110001, val=1111011001010
insert localnode=None, key=100111010101, val=1100110011101101
insert localnode=None, key=10000010000, val=110001000000110
insert localnode=None, key=100001001010, val=1010010010101110
insert localnode=None, key=10101111011, val=111110101111011
insert localnode=None, key=101100101101, val=1110001101111100
insert localnode=None, key=10100100110, val=1101101110011101
insert localnode=None, key=101011100011, val=1000111100110111
insert localnode=None, key=11110101100, val=1000001010000011
insert localnode=None, key=10111001010, val=1010010001101110
insert localnode=None, key=10001000011, val=1010111001000010
insert localnode=None, key=110011101000, val=1111111000010
insert localnode=None, key=111110010, val=11000111110110
insert localnode=None, key=100010011100, val=1001001010001
insert localnode=None, key=110000000010, val=11001101110110
insert localnode=None, key=11001000100, val=1111101010011101
insert localnode=None, key=10010010001, val=1100011111100100
insert localnode=None, key=100111100110, val=10100011000110
insert localnode=None, key=110011011100, val=101000110000100
insert localnode=None, key=101111001, val=101100010101
insert localnode=None, key=10000000100, val=1110000100100010
insert localnode=None, key=101001000001, val=1000100010001
insert localnode=None, key=100101101111, val=1100111010100
insert localnode=None, key=110000111101, val=100101110001010
insert localnode=None, key=1000011110, val=1011011110001000
insert localnode=None, key=111000100, val=100111100101101
insert localnode=None, key=101010100110, val=1010111100
insert localnode=None, key=1000100011, val=1101001000010
insert localnode=None, key=111011110001, val=1011110110000011
insert localnode=None, key=100100001000, val=1110101101100001
insert localnode=None, key=111001011, val=1111111110000111
insert localnode=None, key=101000001111, val=1110001000111
insert localnode=None, key=100010000110, val=10110010010001
insert localnode=None, key=101000000001, val=101101010001011
insert localnode=None, key=101111111101, val=1110100100100
insert localnode=None, key=110010100110, val=1001110010111110
insert localnode=None, key=10010111001, val=110011100111011
insert localnode=None, key=101000101011, val=1101110110101011
insert localnode=None, key=110010111100, val=1010100010101111
insert localnode=None, key=111001111010, val=110110101
insert localnode=None, key=10100100010, val=1101101110101
insert localnode=None, key=110101111100, val=1010000111100011
insert localnode=None, key=11100000, val=1001110010000101
insert localnode=None, key=110111011100, val=1001000001101011
insert localnode=None, key=1000100, val=11011000010110
insert localnode=None, key=101001111, val=1000011011011000
insert localnode=None, key=100001000000, val=1000010100101111
insert localnode=None, key=11011000010, val=1101000010110
insert localnode=None, key=11101001000, val=1010100010000110
insert localnode=None, key=101011100100, val=1010011110011111
insert localnode=None, key=10100001011, val=1100101101100001
