nodejoin id=1010011101, ip=ENDWF4D5O31K, port=1000
nodejoin id=101010101, ip=9B78NECFF6FE, port=1001
nodejoin id=10011100, ip=WJ5VODCY52EK, port=11110
nodejoin id=11000000110, ip=YZP32TO47EZO, port=11101
nodejoin id=111100000100, ip=RQX609P7PAGW, port=11000
nodejoin id=10100111011, ip=8CS1PX8YDZEG, port=1
nodejoin id=11011010000, ip=7O9Y9YABPIIS, port=100
nodejoin id=1110100010, ip=BRNZ2BFG289Y, port=1011
nodejoin id=1000000011, ip=ZSVA4Q17VUFI, port=1010
nodejoin id=101010001000, ip=XWZ6YFC8LQY2, port=110
nodejoin id=1001111010, ip=RU729GVKPSED, port=10100
nodejoin id=111110111101, ip=N17A7M9VCX87, port=1000
nodejoin id=11111111010, ip=LFFFQOA1P6ZN, port=11110
nodejoin id=101110110000, ip=JGGUJJTZB8IH, port=10011
nodejoin id=111010001001, ip=0EVEOVG26VSQ, port=1010
nodejoin id=11101011111, ip=42NFG6L0KIW1, port=11000
nodejoin id=110110, ip=ANOH2WCNQ2T4, port=10101
nodejoin id=1010110110, ip=PK8B89BLL803, port=1011
nodejoin id=100000011, ip=QUXKUDJHYEZS, port=10111
nodejoin id=11110111000, ip=Z7Q6ME5IWYAS, port=11100
nodejoin id=11111101001, ip=JGCBMIZSZNC0, port=10100
nodejoin id=10101111001, ip=K2LHRIN8G1F3, port=1011
nodejoin id=101101110000, ip=N66JBS1A3AWX, port=1101
nodejoin id=11110010111, ip=QY7DHICAASJE, port=1011
nodejoin id=101101111111, ip=TP9QHR5Y8GZL, port=110
nodejoin id=110001000100, ip=AO4Z5XWI1J0Z, port=11101
nodejoin id=1111100001, ip=OBZPUD7B1HIF, port=11001
nodejoin id=11111000110, ip=AA89AWTLMKO4, port=1100
nodejoin id=100010100100, ip=H7CC4RVUBVIO, port=1
nodejoin id=100111110111, ip=YYDO2QKQDI82, port=11
nodejoin id=10110011010, ip=0IVNNLMBVX8M, port=101
nodejoin id=10010011001, ip=0NDG6MQGHYE0, port=11001
nodejoin id=1101100011, ip=QB713OXCTP2T, port=1
nodejoin id=100111111110, ip=VY4C7VY2DNNF, port=10110
nodejoin id=10110001011, ip=OI1XT2PZYTH0, port=1011
nodejoin id=11101001, ip=UT2RFT1QQHVW, port=101
nodejoin id=100111111001, ip=068TAVNP0MF9, port=11100
nodejoin id=11000000101, ip=4AF1P254JDBU, port=101
nodejoin id=100111110011, ip=GSHQOBOSHR6M, port=11101
nodejoin id=110000110100, ip=PBYMNOTNYRAM, port=11100
nodejoin id=10111010000, ip=TH66VUTV33FV, port=1011
nodejoin id=10101010101, ip=NLIWQA4D34N6, port=10011
nodejoin id=111110001111, ip=KQUAW3ALTRF0, port=11100
nodejoin id=100010011000, ip=CZSKL5RD3R3B, port=1000
nodejoin id=11111000000, ip=4L29WM0DBXUC, port=11001
nodejoin id=111011000110, ip=PTGZ5EVUFKFN, port=10010
nodejoin id=11110011110, ip=FGM10A2RB9LU, port=1101
nodejoin id=10110010001, ip=0ZMFD4HIOYOI, port=11001
nodejoin id=1011110010, ip=C6KZTXO9749C, port=10010
nodejoin id=110101110101, ip=R42H7384CGYK, port=1001
insert localnode=None, key=10111100111, val=1011010000101110
insert localnode=None, key=1011000111, val=1010000111010110
insert localnode=None, key=10011010, val=1111110001111010
insert localnode=None, key=11101001011, val=1011011010100000
insert localnode=None, key=10011011, val=100110000000011
insert localnode=None, key=10110100, val=110100001110011
insert localnode=None, key=11001011, val=1101101101010110
insert localnode=None, key=11101001011, val=1110110010011
insert localnode=None, key=110011111011, val=1101000000110000
insert localnode=None, key=111100011001, val=101001111001000
insert localnode=None, key=101111111111, val=110010101000010
insert localnode=None, key=11100100111, val=1111101100111010
insert localnode=None, key=11001110, val=1011101100110110
insert localnode=None, key=11100, val=11010010000000
insert localnode=None, key=110110111011, val=1001011000100110
insert localnode=None, key=1001110110, val=1111000111001110
insert localnode=None, key=11010000000, val=1100101001111101
insert localnode=None, key=111101100001, val=1010100000010011
insert localnode=None, key=11001010110, val=1011000111110
insert localnode=None, key=101000000, val=1110000101010010
insert localnode=None, key=11101000010, val=1111111000011111
insert localnode=None, key=101111110100, val=1110101011011011
insert localnode=None, key=1011101, val=100100110011010
insert localnode=None, key=10110111011, val=1110001010111101
insert localnode=None, key=1100000100, val=1000011110001000
insert localnode=None, key=111001011, val=111001110010110
insert localnode=None, key=100101001001, val=1000011001010111
insert localnode=None, key=11011011010, val=101001001100101
insert localnode=None, key=100110010100, val=100110001111011
insert localnode=None, key=100100101110, val=1010111000010000
insert localnode=None, key=1111110010, val=101001011001110
insert localnode=None, key=100110001, val=1100010111011110
insert localnode=None, key=110111100000, val=101100100101101
insert localnode=None, key=110100010, val=1010100001110000
insert localnode=None, key=11001001101, val=1010111001100
insert localnode=None, key=110110100010, val=11110111011000
insert localnode=None, key=101110111011, val=100001010001
insert localnode=None, key=11011100, val=1010011110100100
insert localnode=None, key=110110110011, val=1000110011101011
insert localnode=None, key=101101010, val=111110101000101
insert localnode=None, key=10000011100, val=110110010011110
insert localnode=None, key=100011110010, val=111111010010111
insert localnode=None, key=100010100101, val=1110111011100110
insert localnode=None, key=100110100000, val=1011000110001111
insert localnode=None, key=10110100001, val=1001011010011001
insert localnode=None, key=11101110101, val=1001011110101101
insert localnode=None, key=10101111001, val=1000111110010000
insert localnode=None, key=1001111101, val=10100001011011
insert localnode=None, key=10111011100, val=111111101101100
insert localnode=None, key=11100000110, val=1101110011001010
insert localnode=None, key=101000001100, val=1111001111100111
insert localnode=None, key=10001010111, val=111011111110111
insert localnode=None, key=101011001101, val=10010110100111
insert localnode=None, key=101001001100, val=1010000101101101
insert localnode=None, key=110101101001, val=1100100110001011
insert localnode=None, key=10111000111, val=1010011010111011
insert localnode=None, key=11001110111, val=1110101001100101
insert localnode=None, key=100011010100, val=1100010000100110
insert localnode=None, key=1100101110, val=1101111101100100
insert localnode=None, key=110110011010, val=111100100101111
insert localnode=None, key=110101000111, val=1111111110000001
insert localnode=None, key=1001110111, val=1010010111111001
insert localnode=None, key=10001011110, val=100111011
insert localnode=None, key=11110101010, val=11011111011000
insert localnode=None, key=101111100100, val=10110001010111
insert localnode=None, key=110111110, val=1100111000010000
insert localnode=None, key=11000101101, val=10110111100000
insert localnode=None, key=11110101001, val=11001000111111
insert localnode=None, key=110100000000, val=1010010100110100
insert localnode=None, key=11111011, val=110000000100101
insert localnode=None, key=100011011000, val=100010011110111
insert localnode=None, key=100100010, val=1010101011100101
insert localnode=None, key=110101000101, val=111001001110
insert localnode=None, key=1101000001, val=101100111101101
insert localnode=None, key=11010101, val=100001001110010
insert localnode=None, key=11010100001, val=10001110101000
insert localnode=None, key=111111100010, val=1100110001000100
insert localnode=None, key=11001101100, val=110101101011001
insert localnode=None, key=100011001000, val=1010000001100100
insert localnode=None, key=111100100, val=1110000110000010
insert localnode=None, key=101100111100, val=10100100101100
insert localnode=None, key=101100001000, val=1010111100000110
insert localnode=None, key=100011100000, val=111111101110101
insert localnode=None, key=111110001000, val=10001110000
insert localnode=None, key=111100111, val=1100111100000010
insert localnode=None, key=10000100111, val=1010010010000100
insert localnode=None, key=11110111110, val=1111110100101111
insert localnode=None, key=101101101011, val=11011011101111
insert localnode=None, key=110101111010, val=1101100011000111
insert localnode=None, key=1011110110, val=1010011001011011
insert localnode=None, key=110100110101, val=1111000110110110
insert localnode=None, key=100001110000, val=111001101100010
insert localnode=None, key=11100110101, val=1101111011001
insert localnode=None, key=11000101110, val=1111100111101101
insert localnode=None, key=101000101001, val=1111101100100100
