nodejoin id=101001010110, ip=HSXLLL5USICO, port=1111
nodejoin id=111110111100, ip=PKRMJ69G3PPE, port=11110
nodejoin id=110001101000, ip=12GK8T3FYNR0, port=10010
nodejoin id=101010110011, ip=R9LAZWEH09PH, port=1001
nodejoin id=110111100100, ip=S991SIY9M3ET, port=11
nodejoin id=110100111011, ip=V6WUL9EAKP8A, port=100
nodejoin id=110110101101, ip=EN0OCZSM4363, port=1010
nodejoin id=111000100101, ip=D9E2O7I5MTJ5, port=1000
nodejoin id=110100010, ip=RPUE9XJ15JWN, port=1101
nodejoin id=11001100101, ip=O8273KL7AQ9F, port=10101
nodejoin id=101001111000, ip=1EEQEGNFD9LG, port=1000
nodejoin id=111000011111, ip=CJG7QMTDE9ZJ, port=10110
nodejoin id=11001111001, ip=0L807BH0F4U8, port=1100
nodejoin id=110100010010, ip=AU8SBJAU8QDD, port=10001
nodejoin id=1011011000, ip=QNM583UOVJQ4, port=11010
nodejoin id=111010000000, ip=8NDI68G087A0, port=1
nodejoin id=11100010000, ip=0AXHJC6597WA, port=10110
nodejoin id=1100101101, ip=L4T74XCPL407, port=1110
nodejoin id=101011110100, ip=A26PSBGKWCK7, port=11100
nodejoin id=111110110111, ip=C163OZLL61XZ, port=101
nodejoin id=10010001101, ip=XF240TQ5BHLQ, port=11111
nodejoin id=10100101110, ip=MLK9NOCIOUK0, port=11001
nodejoin id=101100111101, ip=ARNXZ1Z2EUHA, port=11000
nodejoin id=110000010000, ip=72LPQ4CQ7T0J, port=11111
nodejoin id=100100100000, ip=1EJ4E5Z17VIL, port=11101
nodejoin id=110110111110, ip=QPBLHNZFP10Y, port=10101
nodejoin id=110101111101, ip=007ZYDT5TYIG, port=100
nodejoin id=101100111100, ip=3WZG9CUIWQEC, port=100
nodejoin id=101110010100, ip=WSQ3CHTGX7QN, port=1111
nodejoin id=11101111110, ip=8O0SR59O0FBV, port=10101
nodejoin id=100010110010, ip=H82CBLCDWBJY, port=1010
nodejoin id=100011010010, ip=8SBC66HOQOYZ, port=10000
nodejoin id=11110111110, ip=EII59ASDG50J, port=11100
nodejoin id=111111000100, ip=ZE7D2KJC8KZM, port=11010
nodejoin id=11000111100, ip=OQ7BI5T0Z4Q5, port=10111
nodejoin id=101101001000, ip=CHG6D93M91EB, port=10001
nodejoin id=110111000011, ip=TJ2XTT3SK9NO, port=1111
nodejoin id=11000000, ip=B8KJRG635C7X, port=1100
nodejoin id=111001001100, ip=2SUOU2MAMSQQ, port=11101
nodejoin id=101110111, ip=JBCEC310ATR6, port=10000
nodejoin id=1100110001, ip=5IOKSE7OG8YC, port=1100
nodejoin id=101011011001, ip=QID522W1TRL9, port=1
nodejoin id=101111011100, ip=0PWNTWBXIY0A, port=100
nodejoin id=111001001000, ip=98Q1VPEH5PC5, port=1010
nodejoin id=100110100111, ip=D08YT54PF0B8, port=11101
nodejoin id=111100101000, ip=ELBELUS9YC9Q, port=10111
nodejoin id=10011001111, ip=4KDHA0NKJ3BL, port=11011
nodejoin id=11010010, ip=TBBL2Y7LWWKZ, port=11001
nodejoin id=101001, ip=85NATOK9RTTW, port=11
nodejoin id=111101011100, ip=8OES5DPJPH0V, port=1000
insert localnode=None, key=1111111111, val=100010001001011
insert localnode=None, key=101010000001, val=110101010101111
insert localnode=None, key=101111001110, val=101001100101111
insert localnode=None, key=10111100101, val=1110011001111101
insert localnode=None, key=10111011111, val=1001110100100100
insert localnode=None, key=110101111100, val=100010100001010
insert localnode=None, key=101111010011, val=11000111011000
insert localnode=None, key=1101011001, val=1000100001010011
insert localnode=None, key=100111011111, val=10001010010101
insert localnode=None, key=111000101011, val=1111011001011101
insert localnode=None, key=110110100101, val=1101111011111010
insert localnode=None, key=11000010011, val=1100010001011111
insert localnode=None, key=10010011110, val=1001000001100001
insert localnode=None, key=1011010110, val=11101001011001
insert localnode=None, key=101001111000, val=1011100111010
insert localnode=None, key=111100000101, val=1100110010110001
insert localnode=None, key=10111001001, val=1000110111100
insert localnode=None, key=1000111000, val=100011111111111
insert localnode=None, key=100010000000, val=110000111010100
insert localnode=None, key=11000011100, val=1110011101000011
insert localnode=None, key=110010100011, val=101100110011001
insert localnode=None, key=100110001110, val=111011100100001
insert localnode=None, key=1100010011, val=1100001000111010
insert localnode=None, key=101010100011, val=110101111000111
insert localnode=None, key=110000011000, val=1100010110110000
insert localnode=None, key=110000111011, val=1110001111111
insert localnode=None, key=1101010110, val=1011101100101000
insert localnode=None, key=1010011, val=1001001010000010
insert localnode=None, key=110001101010, val=1010100000001010
insert localnode=None, key=1001111011, val=100110010011000
insert localnode=None, key=110111011001, val=1111111011001110
insert localnode=None, key=11100100001, val=1000001010001010
insert localnode=None, key=100101101010, val=1010010011000
insert localnode=None, key=100001101000, val=110001001101001
insert localnode=None, key=10100101, val=111100100100
insert localnode=None, key=101111100, val=1101101111011101
insert localnode=None, key=10011101010, val=111100101010000
insert localnode=None, key=110000000001, val=110011001000000
insert localnode=None, key=100100000, val=1110010001010100
insert localnode=None, key=1100111111, val=1000100100000110
insert localnode=None, key=11001010100, val=101010001100011
insert localnode=None, key=10101110000, val=1000000001101010
insert localnode=None, key=100101010, val=111100010100
insert localnode=None, key=101101111110, val=100010011110010
insert localnode=None, key=11110000, val=1001100101110001
insert localnode=None, key=1011000001, val=1111011010100011
insert localnode=None, key=1101100110, val=1011100100110000
insert localnode=None, key=111110101, val=11100011101100
insert localnode=None, key=101010110110, val=1000011010010101
insert localnode=None, key=111010101111, val=10111101011000
insert localnode=None, key=10001110010, val=101011100110001
insert localnode=None, key=110111111001, val=100011100010110
insert localnode=None, key=11100000111, val=100000011110011
insert localnode=None, key=110110010100, val=1100110110010011
insert localnode=None, key=101010101, val=1110010101101111
