nodejoin id=101111010010, ip=9EDI5WLQT8J3, port=1100
nodejoin id=11101100111, ip=65A366QUCYSY, port=110
nodejoin id=110100100011, ip=MVH0PK8CYX1Y, port=0
nodejoin id=100001101011, ip=HGESL9K22IL7, port=10000
nodejoin id=100110011111, ip=7WWXRBOKO6SQ, port=1011
nodejoin id=1110110001, ip=NRGPCSSQL0L2, port=10101
nodejoin id=1110000000, ip=GVDXTGLHK48C, port=1110
nodejoin id=11001011110, ip=F14MCJ6JJRSG, port=10000
nodejoin id=10010101000, ip=400BHJBOLEJR, port=1001
nodejoin id=101100010110, ip=A2BU2EOPJ3GE, port=101
nodejoin id=1010001101, ip=J9EYRC64T2ZB, port=110
nodejoin id=10000011111, ip=0FFM44O9JBMM, port=11111
nodejoin id=11010101111, ip=68TY8GXE9AEO, port=1000
nodejoin id=100001101111, ip=XW7YARZ1SNI7, port=11000
nodejoin id=100000011100, ip=OS4S206E9T9B, port=11101
nodejoin id=10110111111, ip=WOGEZTZA3W2D, port=11001
nodejoin id=11100100010, ip=6YNJHXIQZXOC, port=11001
nodejoin id=10011000011, ip=5TLMXR6XFCQI, port=10001
nodejoin id=110011001, ip=V5LB6K43O49C, port=11110
nodejoin id=10001110101, ip=I92FR2IM2N69, port=11111
nodejoin id=1001001000, ip=VSQQUZOMIEVX, port=11011
nodejoin id=111110010010, ip=CZ3XOPT06XFD, port=1000
nodejoin id=10111110011, ip=7VVTS46WB377, port=10101
nodejoin id=111000001111, ip=ZWO41DMJQWT1, port=11100
nodejoin id=111100010011, ip=XWYTRC4FMV0F, port=11
nodejoin id=11101101010, ip=31Y5LA62DRJY, port=10001
nodejoin id=1000101000, ip=TPC7GV2W0OV6, port=1010
nodejoin id=100010010001, ip=6ECWF2YAEKX8, port=11010
nodejoin id=10010000101, ip=J4LODHGXD8JL, port=11111
nodejoin id=10000010, ip=4HGVC46YKYGH, port=11101
nodejoin id=1100000010, ip=Y89GMFXW7PIO, port=10101
nodejoin id=101100100101, ip=0C7OLOW5E422, port=10001
nodejoin id=11001111011, ip=LAHB3D84T8Q3, port=1101
nodejoin id=11101110011, ip=ZUM9A5XWWLVE, port=10010
nodejoin id=10000001101, ip=AH51XT51QEQD, port=110
nodejoin id=110101100111, ip=I14LYJBJWQ0G, port=1100
nodejoin id=111100100100, ip=O5BNJJS0HLUM, port=1
nodejoin id=10111001100, ip=BPR0CGO8Q9NA, port=11111
nodejoin id=100110100000, ip=T4QI3CO8SHLR, port=11100
nodejoin id=10111000010, ip=LXQL4OSFXZQT, port=1000
nodejoin id=110101010000, ip=CVCG3C4FJDUT, port=10010
nodejoin id=110110111001, ip=FUSXJ4XPY200, port=10001
nodejoin id=110010101010, ip=JFZ8GE58DR9X, port=11010
nodejoin id=10100101001, ip=47UG3KYBHLJX, port=10110
nodejoin id=10000101001, ip=RBU7CB3SNJ7F, port=11
nodejoin id=110010110101, ip=U08AQOAQA9LM, port=10110
nodejoin id=111111100011, ip=Q542BMSFINEU, port=11110
nodejoin id=111101011, ip=MWYTRAS9CG1C, port=1001
nodejoin id=11001011001, ip=STVRB8MCL31G, port=1101
nodejoin id=1001111001, ip=4REZN8OYGPMU, port=10
insert localnode=None, key=101111, val=100111101001
insert localnode=None, key=11001000001, val=1100110001000
insert localnode=None, key=111111000110, val=1001110110001010
insert localnode=None, key=110110111001, val=1000110001001101
insert localnode=None, key=101101100110, val=101110111111011
insert localnode=None, key=10101101000, val=1010001101110011
insert localnode=None, key=101001111011, val=10001010000110
insert localnode=None, key=1111111100, val=101011010101
insert localnode=None, key=100000111011, val=100101000000010
insert localnode=None, key=1101001000, val=1111010110110000
insert localnode=None, key=100000010000, val=1101100100010101
insert localnode=None, key=111001111, val=1100111111000110
insert localnode=None, key=10011101, val=11010010110100
insert localnode=None, key=100111110000, val=100011000100
insert localnode=None, key=101100000, val=1011110111100000
insert localnode=None, key=100101101100, val=110010001101
insert localnode=None, key=101001100011, val=1111110011001
insert localnode=None, key=111110100110, val=110101010000000
insert localnode=None, key=110110011000, val=1000101100100100
insert localnode=None, key=110101100111, val=1111110001101110
insert localnode=None, key=101110001101, val=11000000110010
insert localnode=None, key=101111000101, val=1110000001100101
insert localnode=None, key=10000010, val=1101000001101101
insert localnode=None, key=100100111101, val=1100100000001101
insert localnode=None, key=101101100100, val=1101001000110011
insert localnode=None, key=110010101111, val=10000000101110
insert localnode=None, key=100111011100, val=11000100100
insert localnode=None, key=11010001101, val=1010111000100100
insert localnode=None, key=1110100011, val=1100000100011111
insert localnode=None, key=1111000111, val=10110101100100
insert localnode=None, key=100101110100, val=110000110101100
insert localnode=None, key=10111110010, val=1101100100110101
insert localnode=None, key=11000111101, val=11100110011010
insert localnode=None, key=11000010001, val=100100000100001
