nodejoin id=1001111001, ip=ZJR6Q52RP1RI, port=10
nodejoin id=111011000001, ip=PK1TBP3PZFVZ, port=10011
nodejoin id=101001110100, ip=W17T5FUI1EKU, port=1000
nodejoin id=101100101001, ip=3OGVUXWXZ90L, port=1010
nodejoin id=100101111011, ip=T0J96WWTPVRT, port=110
nodejoin id=110100111101, ip=5IZ6EXY8GYQ7, port=10
nodejoin id=11111100000, ip=CUO6JCVKGQPC, port=1100
nodejoin id=11111001110, ip=JIVOVSJW3K0Z, port=11111
nodejoin id=10101011, ip=FBXY194N30AS, port=1100
nodejoin id=101110100, ip=4HGNP2TT8Q4L, port=10010
nodejoin id=101101011011, ip=Z1GECWMAHQCX, port=101
nodejoin id=100010111111, ip=38H6PQP50TUP, port=101
nodejoin id=110101001110, ip=RL6L3MBONTF3, port=10011
nodejoin id=100110001010, ip=O5LVV6PBODUE, port=11101
nodejoin id=100011100101, ip=UT54XZKWYJ43, port=11011
nodejoin id=111001101, ip=PPNTC09RDKSF, port=10
nodejoin id=110111010011, ip=DJY9PC9CRADQ, port=1110
nodejoin id=1100010110, ip=J0Y7E86J3O87, port=11100
nodejoin id=110000111010, ip=X13HMPYPB1OV, port=10100
nodejoin id=110010000111, ip=9N7PNRHI4ENN, port=111
nodejoin id=11101001110, ip=KMUPTUA5ZK98, port=11111
nodejoin id=111111111001, ip=JA4PGNC8LAYZ, port=100
nodejoin id=100101111111, ip=0AF35GMM2OR5, port=10
nodejoin id=110100011101, ip=NQTQ4F864JF3, port=100
nodejoin id=110011111100, ip=BDSHEUV9QON8, port=11111
nodejoin id=11001011001, ip=4S1S6OBHSK30, port=1100
nodejoin id=101110110001, ip=NOMNT1YBS6G0, port=11111
nodejoin id=111010001010, ip=MPOB3DKK2P6K, port=11101
nodejoin id=10111011000, ip=GGBEXNYZZBUO, port=10000
nodejoin id=111101001111, ip=ME8WXIYQYFOM, port=10111
nodejoin id=100001000011, ip=LI8XM9O0FQ62, port=11
nodejoin id=101100010011, ip=6GTKO0IK1I3O, port=11001
nodejoin id=100001010000, ip=OIUSSAL00P6T, port=11110
nodejoin id=1011101100, ip=4Q5TOV3VYO7U, port=1100
nodejoin id=111001000, ip=1CFCZSAYVU88, port=110
nodejoin id=101100001000, ip=Q8UJH3O55QKJ, port=0
nodejoin id=10110011011, ip=PRY9GYDYK5WO, port=10001
nodejoin id=100100101101, ip=A8YV32JE4E1K, port=1000
nodejoin id=110001000110, ip=QKA7GQ207CIP, port=10
nodejoin id=11110111110, ip=0SQ1QXHL5IX8, port=110
nodejoin id=11110100, ip=GB2KNHTPLM3N, port=1010
nodejoin id=10011111110, ip=Q4UENHIRGMRJ, port=1100
nodejoin id=11010110010, ip=HV45ZR4RO239, port=111
nodejoin id=10001000101, ip=AFLQ48QM6FYR, port=10001
nodejoin id=1001001011, ip=3GPC6KL6AB4V, port=1000
nodejoin id=10000101001, ip=NMU7AA7QGK73, port=110
nodejoin id=11010101101, ip=O0EZIAQ2YIC8, port=11001
nodejoin id=100110011000, ip=FVIEFPK1R9DT, port=10100
nodejoin id=11110010, ip=OMRD8IUH1W60, port=1011
nodejoin id=110001000011, ip=QEH5PBA7VIXP, port=10011
insert localnode=None, key=100011111000, val=1110100010000010
insert localnode=None, key=10010011, val=100010110000
insert localnode=None, key=1100000000, val=1000110001100101
insert localnode=None, key=10011011110, val=1010000111010000
insert localnode=None, key=11110000111, val=1000011110011101
insert localnode=None, key=111010010010, val=110010110010011
insert localnode=None, key=100101101110, val=110011110101001
insert localnode=None, key=111010111111, val=1100110011110101
insert localnode=None, key=101110111010, val=10111101110110
insert localnode=None, key=10010101000, val=101100010110010
insert localnode=None, key=1000000101, val=11010010101001
insert localnode=None, key=110011101110, val=1110111011010010
insert localnode=None, key=110100011010, val=1010010001010110
insert localnode=None, key=100101011011, val=111111000100110
insert localnode=None, key=1000011101, val=1010011010100
insert localnode=None, key=101110100, val=1101111000000100
insert localnode=None, key=11110110101, val=110100001010001
insert localnode=None, key=11011100101, val=10111010111010
insert localnode=None, key=110110111, val=1101011111101100
insert localnode=None, key=111111010111, val=1001101001010110
insert localnode=None, key=111101000, val=11000101000000
insert localnode=None, key=111011111001, val=1110000010000
insert localnode=None, key=101001100011, val=1100110011010101
insert localnode=None, key=11110100111, val=10101011001111
insert localnode=None, key=11101101100, val=1011011110011011
insert localnode=None, key=11101100010, val=1100011111100101
insert localnode=None, key=101001001011, val=10110110111011
insert localnode=None, key=110110111001, val=110001111011
insert localnode=None, key=10010001000, val=111010010100100
insert localnode=None, key=110010111110, val=1001010111110111
insert localnode=None, key=101111101100, val=110000110011
insert localnode=None, key=1100100100, val=1011011110010110
insert localnode=None, key=100001111, val=1000100100100111
insert localnode=None, key=1001001001, val=1101111101001
insert localnode=None, key=101011101011, val=101001101110000
insert localnode=None, key=111000000100, val=1111011100000101
insert localnode=None, key=1101000101, val=110101010010
insert localnode=None, key=110011110101, val=101110111001001
insert localnode=None, key=11011011000, val=1101001001100110
insert localnode=None, key=1110010000, val=1011100011100001
insert localnode=None, key=101001011110, val=110100110001010
insert localnode=None, key=110111, val=1011100000001011
insert localnode=None, key=11111011111, val=10110111111100
insert localnode=None, key=10000010101, val=1011101001101
insert localnode=None, key=101101000000, val=1101100011010011
insert localnode=None, key=100001011011, val=110100001
insert localnode=None, key=111101001000, val=1111111110011110
insert localnode=None, key=11101000110, val=10001010011010
insert localnode=None, key=100000101100, val=100100000000111
insert localnode=None, key=100111000001, val=1000110100010010
insert localnode=None, key=10010101, val=1011110101100000
insert localnode=None, key=11111001010, val=1101101000010010
insert localnode=None, key=11000111011, val=1000001101001110
insert localnode=None, key=11011000000, val=100000111111000
insert localnode=None, key=100101110011, val=1110101100000
insert localnode=None, key=101111111100, val=110010011111100
insert localnode=None, key=10110001101, val=1000010000001111
insert localnode=None, key=1100001000, val=100010010001110
insert localnode=None, key=100101010101, val=111010111101111
insert localnode=None, key=111100111000, val=1011011101001010
insert localnode=None, key=101001, val=1011111010100100
insert localnode=None, key=11101001001, val=1000111111010111
insert localnode=None, key=110000000110, val=111110100011111
insert localnode=None, key=111010111011, val=110001010101000
insert localnode=None, key=10010011100, val=1001011110011101
insert localnode=None, key=111011001101, val=1000111110011010
insert localnode=None, key=100100101001, val=1111001010100100
insert localnode=None, key=111000100, val=111110110101110
insert localnode=None, key=101010111010, val=1010001000111110
insert localnode=None, key=110100001111, val=1000101101010010
insert localnode=None, key=101000000001, val=11100101101
insert localnode=None, key=10011101100, val=1110001110101001
