nodejoin id=10111010001, ip=TAZ1RGJ9G22C, port=111
nodejoin id=110101011110, ip=XWZA303CSRXK, port=101
nodejoin id=11110001010, ip=G28GP97V3RRK, port=11100
nodejoin id=101101001010, ip=DOSW693FT5XJ, port=11100
nodejoin id=100101111, ip=5FL58OOLNJ31, port=10010
nodejoin id=1010000001, ip=EI19EQFFI3RA, port=10101
nodejoin id=10010000, ip=6801XNMGIQ9F, port=1110
nodejoin id=11001001111, ip=EA5XES9PCJZ6, port=101
nodejoin id=100101100101, ip=369NEF92D9ZK, port=11
nodejoin id=110111001010, ip=E3LQL0F8B2Y6, port=10
nodejoin id=11000101001, ip=968XWZZHOLJ0, port=11111
nodejoin id=101110011, ip=BF8H1ZAF28TE, port=1100
nodejoin id=111100111111, ip=KLU2M4WFU1PD, port=11001
nodejoin id=101100010010, ip=B677R09HUIWG, port=11010
nodejoin id=100111000101, ip=MMS5BMM7QYU8, port=11010
nodejoin id=1000001111, ip=XUE0B61Q02L0, port=11001
nodejoin id=11111000100, ip=0PE8XCHHKLXV, port=10010
nodejoin id=111000001010, ip=TAHQ1SI9TYOB, port=11000
nodejoin id=100000101011, ip=KNYWLYOIZVYJ, port=11111
nodejoin id=100000011, ip=3AFV3H1YATCJ, port=1111
nodejoin id=101001101000, ip=687LAERTTAZR, port=10110
nodejoin id=100010100000, ip=7BWGZWQF6OYX, port=1010
nodejoin id=100001011011, ip=AZIPHMLNRS9W, port=1101
nodejoin id=100001100111, ip=EU0K0JOFR9R9, port=10100
nodejoin id=100010111010, ip=970SL00F167V, port=111
nodejoin id=11111011000, ip=U6NAPBXUCW9R, port=11100
nodejoin id=100100100, ip=XG0VS9CK81D3, port=100
nodejoin id=111000010011, ip=IN6QK4QQYQJF, port=10110
nodejoin id=111101100011, ip=1K0GR3ZNPWME, port=1011
nodejoin id=110000001001, ip=5A6FZ0TXWNDO, port=1001
nodejoin id=1001100101, ip=3NLTL25AB5GV, port=100
nodejoin id=10100001110, ip=TS9IT3QUS1LV, port=0
nodejoin id=101101010100, ip=VFAATGZQOKJR, port=1010
nodejoin id=111101101, ip=BEB9ACJDGVPR, port=1000
nodejoin id=10100111011, ip=F7OI874DPS63, port=10101
nodejoin id=110011011101, ip=N25INQGYI023, port=11
nodejoin id=111100001101, ip=Y1TTG3C1S3BU, port=1110
nodejoin id=110010110001, ip=Y4GL466J2OQX, port=1101
nodejoin id=10110001010, ip=72K08NXQ6WZL, port=10101
nodejoin id=100111100, ip=ML4W4QJ4HQCI, port=1110
nodejoin id=11111000101, ip=V1B84QJ78UB7, port=11010
nodejoin id=1010011100, ip=VCX2DVN9HPWS, port=10001
nodejoin id=1001001000, ip=LBHZH78H3503, port=11001
nodejoin id=1000000111, ip=UGVRYR9JRWRT, port=10011
nodejoin id=111001111110, ip=Q4CD7BJBIX64, port=1000
nodejoin id=101100010110, ip=KXF8I887FZQP, port=10110
nodejoin id=100101110110, ip=XATAQ37HFP52, port=1100
nodejoin id=101011110001, ip=ABHBBV40QCDK, port=10001
nodejoin id=100011000011, ip=GL1VNL3XG370, port=11100
nodejoin id=111011000011, ip=CEIODC542LSH, port=11100
insert localnode=None, key=11100000010, val=1001111011110000
insert localnode=None, key=11011001011, val=1011010011111111
insert localnode=None, key=100101111010, val=111001000100100
