nodejoin id=101000011101, ip=XX309TIXB3VL, port=11010
nodejoin id=110110111110, ip=G11FP359QE9H, port=1110
nodejoin id=100000010001, ip=YH85MDM01PE6, port=10101
nodejoin id=101100001011, ip=TAN28VEEG4NV, port=111
nodejoin id=100011010000, ip=1A141HFQRG1R, port=11101
nodejoin id=1001001001, ip=9GC4BLHHLV4H, port=11011
nodejoin id=1011110111, ip=T4WHOBUCJP9K, port=10011
nodejoin id=100100010001, ip=X25GYOK0TNCM, port=11
nodejoin id=10110100011, ip=OZVDSKEZ5DA7, port=1
nodejoin id=111001001111, ip=LYCJJB4KS50H, port=100
nodejoin id=100011011000, ip=800ELLW04QEY, port=11011
nodejoin id=1010100011, ip=YVZ7MT4OQLCW, port=1110
nodejoin id=111011111101, ip=L09A9E315VS7, port=1110
nodejoin id=111111101010, ip=U7TDXEZ7GW7X, port=11010
nodejoin id=101011010111, ip=MAY66V7T5SBK, port=11110
nodejoin id=11101000101, ip=FKM95MK5D8TB, port=1001
nodejoin id=1111110110, ip=QCFDT4822Z9Y, port=11111
nodejoin id=10011011100, ip=VTSUD3B7H3PI, port=0
nodejoin id=101010110010, ip=QWCARJFUMAG3, port=11011
nodejoin id=111001100101, ip=OASO4LSGUON7, port=100
nodejoin id=11111000110, ip=GP49X9GY9XLW, port=11000
nodejoin id=1110110111, ip=B88JPJCIXIIX, port=10000
nodejoin id=101111000100, ip=7IGCI9S0HYOM, port=110
nodejoin id=10110011, ip=H5QNW2QU7SAF, port=101
nodejoin id=11011100111, ip=21NII82JS3TC, port=1101
nodejoin id=110111010101, ip=V63Z3LKQ5LZK, port=10101
nodejoin id=110000101011, ip=99YSW7KQP2QA, port=1111
nodejoin id=101001110, ip=SGYH8OYQI6UM, port=1111
nodejoin id=101101100010, ip=HX6736X91IJW, port=1110
nodejoin id=111110010101, ip=KSD18T67SZNY, port=10011
nodejoin id=11010110001, ip=C7TMF7QNXK8I, port=11100
nodejoin id=11001001000, ip=JW8YRF3OKCMU, port=1111
nodejoin id=111101101, ip=BVH1BJHLRUPG, port=10110
nodejoin id=110100011101, ip=CSO1A50ODHYU, port=100
nodejoin id=110111000001, ip=EZI1EFTYB2S2, port=10101
nodejoin id=100001000100, ip=B8UM2V8EF5PS, port=100
nodejoin id=1111101101, ip=SJEX3PR7C20M, port=11001
nodejoin id=100010001001, ip=DM16T3OMVZ2O, port=1111
nodejoin id=10010000101, ip=UANZ36EW342X, port=10011
nodejoin id=1111111001, ip=FUJEZ54E410N, port=1110
nodejoin id=10010010111, ip=XKEL47NHL33H, port=10000
nodejoin id=100101101011, ip=HCJ59GCO649I, port=1
nodejoin id=1001010010, ip=O8OGFI2OMSBK, port=1
nodejoin id=100111101101, ip=EXPVYPCVBDD9, port=11101
nodejoin id=101001011, ip=PXC6780YI8OK, port=1000
nodejoin id=1100100001, ip=54LLQ12L1HII, port=10000
nodejoin id=10110110110, ip=E6VCVAD69CDM, port=10010
nodejoin id=1001100111, ip=FNSWG2N2GD1Y, port=11101
nodejoin id=10001010101, ip=ZD4TZ0P6K2O4, port=1111
