nodejoin id=1010010111, ip=JETEWU2JWM0T, port=1110
nodejoin id=10101001100, ip=D3ZXOQH73TAG, port=11
nodejoin id=11101011101, ip=ZX81HPW1EJZK, port=11
nodejoin id=101000010111, ip=FYTCE0SWC5XH, port=1110
nodejoin id=111111000110, ip=AJWE9VFYUIWS, port=10101
nodejoin id=1100101, ip=KL91BD0W2MYH, port=10011
nodejoin id=100111110, ip=CI20KCIER0XW, port=0
nodejoin id=11010000111, ip=XRCH0OB63MPI, port=1110
nodejoin id=10100010111, ip=LJ013IGINYSA, port=10011
nodejoin id=11011010000, ip=U76Z0RR71B75, port=10000
nodejoin id=100011001110, ip=X5W9VWG2HT73, port=10101
nodejoin id=11100010100, ip=DO7CC2OKEL0M, port=11001
nodejoin id=101100010010, ip=Y8DDXPTLD3JN, port=10000
nodejoin id=111111111011, ip=L2ENZPQNVN63, port=10101
nodejoin id=101000011011, ip=I9GDTHNHW1SO, port=10001
nodejoin id=10010101010, ip=BZVEOXJ3MNOF, port=111
nodejoin id=11000110100, ip=IWFF4IRL3KLL, port=10010
nodejoin id=10101000010, ip=P5YOHLBIM6UM, port=101
nodejoin id=111101111000, ip=5JWL44K6ABTI, port=101
nodejoin id=101000011000, ip=R6QF38IB33C4, port=10010
nodejoin id=1010000010, ip=I0G81WZD52OU, port=11001
nodejoin id=11100100100, ip=EOTMB27M33CI, port=11111
nodejoin id=11011011010, ip=KQ8C4SHCSM7C, port=1001
nodejoin id=111111111000, ip=IOEJ3B0S3BKC, port=11001
nodejoin id=111000111100, ip=RHP7ACXSLB1L, port=10010
nodejoin id=111010011101, ip=SOA40ZKK4H9J, port=11010
nodejoin id=101000111011, ip=0RSBJVA2RVRK, port=1100
nodejoin id=111011110, ip=QUVC45Y3INZM, port=1100
nodejoin id=111000011100, ip=ZGWUXFFEFHZF, port=11
nodejoin id=101000111, ip=I563U6SCIW5G, port=100
nodejoin id=100111100011, ip=T8W1J8GAKY8J, port=10000
nodejoin id=1010001101, ip=USLQYETFVG3G, port=10110
nodejoin id=10100100, ip=OD6VGJQXUWFX, port=1110
nodejoin id=110110010, ip=7CUQ6HNZ3E22, port=100
nodejoin id=101100010, ip=9GV6ILJH6P1Z, port=1110
nodejoin id=11001011100, ip=16DESOZNTV1H, port=100
nodejoin id=101001101001, ip=LC3HWOZEQIUV, port=10110
nodejoin id=11001110011, ip=TJWSDHTQHB0H, port=1
nodejoin id=101000110001, ip=RS2GM9Y8ANVX, port=11101
nodejoin id=11110110, ip=9ZWPGZKA58TT, port=10010
nodejoin id=110111000011, ip=ZPILPW5X0J2Y, port=110
nodejoin id=101100010010, ip=QB63KXB99JCY, port=11101
nodejoin id=101001110101, ip=IP8JZ8KLBXRK, port=111
nodejoin id=101100111011, ip=K8J5XMN7GTYS, port=1
nodejoin id=11000000101, ip=U05YKKWJ82ZX, port=1010
