nodejoin id=11101010010, ip=AF0R5D68NJOQ, port=11000
nodejoin id=100101010101, ip=UFICLUKXECCI, port=10111
nodejoin id=101101001101, ip=8BO7QY4O4WGY, port=10110
nodejoin id=111101000110, ip=58CJXHJWU3KW, port=100
nodejoin id=110110111001, ip=Y9B7YB6L2QM0, port=11111
nodejoin id=111101110111, ip=IFTVGZACL3IO, port=110
nodejoin id=1101111001, ip=31D71235HPWT, port=11000
nodejoin id=11001100000, ip=PDWXGKJQ6WUP, port=10010
nodejoin id=11100110001, ip=2C2EB6XSICFF, port=100
nodejoin id=101111101111, ip=2LAPERQO9JWR, port=1111
nodejoin id=111100010011, ip=JGGYAVQXFR5J, port=1
nodejoin id=110001110001, ip=MV9924D75D31, port=1100
nodejoin id=101001010, ip=095LQX045CV5, port=1101
nodejoin id=100100000000, ip=2DN1NK5Q1JGZ, port=11011
nodejoin id=110010011, ip=3F3FZQ7HPFVH, port=1000
nodejoin id=100010010001, ip=TV1P6JUWGGGW, port=10100
nodejoin id=101100101, ip=CW5ZVDT31M7L, port=10001
nodejoin id=11001111001, ip=U1XYLBT60YUC, port=1001
nodejoin id=110001110, ip=SB78SRE2O4MQ, port=10001
nodejoin id=101001100011, ip=YC69J8X6DYQ5, port=1010
nodejoin id=1110110100, ip=ZIFTY0ME43F1, port=1
nodejoin id=1101011001, ip=03YQ4CONMI9H, port=11100
nodejoin id=1111010010, ip=JQ3E2YIKB6Z2, port=11111
nodejoin id=101001100101, ip=FMPL6XCBFBBK, port=100
nodejoin id=1011100101, ip=TL7B4ACSGLRG, port=10010
nodejoin id=10010010010, ip=A2188QDAW3XQ, port=11110
nodejoin id=11011101101, ip=D75E4L4MK4P7, port=11100
nodejoin id=111000100000, ip=FCKEQGREBK8Q, port=1000
nodejoin id=110101111101, ip=A40F54F81OUC, port=1011
nodejoin id=110010101110, ip=888DYW46ZBOE, port=11000
nodejoin id=11010111, ip=LW79P5JN3BMY, port=1010
nodejoin id=100100001011, ip=I5BH7M5FI8A9, port=11000
nodejoin id=101111100000, ip=56PKBQZXR5UU, port=11110
nodejoin id=110111001101, ip=RL96C6DK8SZT, port=1110
nodejoin id=11000010111, ip=H5O8T9VFTCV3, port=11001
nodejoin id=10101111111, ip=9O17WUPSMJ3K, port=10111
nodejoin id=1010111010, ip=TJPMXV1O9JSW, port=11011
nodejoin id=100110010001, ip=0NLY7YZYQID5, port=11111
nodejoin id=110000110100, ip=EF0O0TIG5UDP, port=1011
nodejoin id=110011001111, ip=L1XYEWWD9X91, port=11001
nodejoin id=100110101101, ip=14UUNAACVVEH, port=10100
nodejoin id=1010001111, ip=ML88OHJVWVX9, port=101
nodejoin id=110111101011, ip=DH9CBPTZ77IP, port=11000
nodejoin id=110001111101, ip=D58KW9U0Y7ZK, port=1010
nodejoin id=111001111000, ip=Q4P8IYC1B738, port=1011
nodejoin id=1000001100, ip=REB4KX6Z7508, port=11000
nodejoin id=111000110111, ip=I33U3WKP593U, port=0
nodejoin id=111000111111, ip=SIILAB0905SZ, port=1010
nodejoin id=101011000001, ip=OZR4YNSYVZH4, port=10010
nodejoin id=10100001001, ip=YJM5YTUNUDXF, port=111
insert localnode=None, key=1011110010, val=101100101000
