nodejoin id=10000011000, ip=1BC30YE6PY40, port=11101
nodejoin id=10000111101, ip=50RJJFXTWUA6, port=11110
nodejoin id=101101010111, ip=3GM8NRQIYX92, port=1
nodejoin id=110111100010, ip=4E9V1ADL3NDL, port=1101
nodejoin id=100110111111, ip=72U959FD3LHK, port=0
nodejoin id=110101000001, ip=AQOIO3OI7ITB, port=10101
nodejoin id=111100111001, ip=3SK6U6MVB6UW, port=10101
nodejoin id=100011000100, ip=HPJPATZMWTWQ, port=10010
nodejoin id=1010010101, ip=P44PHGKNWH2M, port=1100
nodejoin id=1000000000, ip=WM77TU1KMUWZ, port=0
nodejoin id=11101100, ip=JXO606LSX0TQ, port=110
nodejoin id=100011010001, ip=J7PU5OL406US, port=0
nodejoin id=11011011001, ip=MH2X0KM236VG, port=10110
nodejoin id=100110110110, ip=8GNKVXK3JCCB, port=1101
nodejoin id=110001111010, ip=ZP30X0EJBYWW, port=1010
nodejoin id=1101, ip=D64ZZWOTRZE8, port=10000
nodejoin id=1001011011, ip=XQU83AS547R6, port=10111
nodejoin id=110100100011, ip=6VS6QCR37CBF, port=11011
nodejoin id=101011000100, ip=GZWD6OB7T6K0, port=10111
nodejoin id=10001000011, ip=2AV21B1M2MF4, port=10110
nodejoin id=10111110001, ip=19AJ999AROT6, port=11110
nodejoin id=10010011010, ip=GZOZXORYVB15, port=1001
nodejoin id=111001011100, ip=EKZIM7VN02Y0, port=10000
nodejoin id=1001101100, ip=6UFJ00K5EANJ, port=10
nodejoin id=10001101111, ip=9DHFR2YZVEUK, port=10000
nodejoin id=111011000101, ip=WR9KDF7WH30Q, port=1110
nodejoin id=10110010111, ip=5EAGNJXN4RFW, port=10101
nodejoin id=1001000001, ip=793K7C07UMP1, port=11011
nodejoin id=10010001110, ip=U2LK2BGE7WHZ, port=1111
nodejoin id=11010111100, ip=7X99R4F8E6VQ, port=10100
nodejoin id=11000110110, ip=N0ER2N6WOS8S, port=10001
nodejoin id=111100111111, ip=THD7V4P45SO1, port=11110
nodejoin id=101000000111, ip=0PQ7N45DT3NG, port=1111
nodejoin id=101101111111, ip=ZOMTX6LOH2WP, port=1111
nodejoin id=110111111011, ip=IMR6BYEPLYFF, port=11101
nodejoin id=1000001000, ip=JR8VTI0AVT7R, port=10110
nodejoin id=1110001101, ip=JFDTDKPOTAMD, port=1011
nodejoin id=111100001010, ip=WTRO86XRLS68, port=1100
nodejoin id=100111001101, ip=WKTNC96QPOTP, port=11111
nodejoin id=101101010010, ip=Y14NONISE0WF, port=11110
nodejoin id=11010001000, ip=K7YX8JZ8ZK6I, port=11011
nodejoin id=110010010101, ip=XUSG0GJH2PMM, port=11010
nodejoin id=101101011101, ip=XYZRLW6JZRZU, port=10101
nodejoin id=10011000001, ip=6I7EY099Y1PU, port=10000
nodejoin id=10110011110, ip=HTD870I9POZE, port=10000
nodejoin id=100100001111, ip=G9ETTZZJJF96, port=111
nodejoin id=11101010111, ip=VU8CROLW2G6R, port=1
nodejoin id=110111011100, ip=1JGT5C0TDFIA, port=10100
nodejoin id=11010101111, ip=R13B3JOH5EYG, port=10010
nodejoin id=111111010011, ip=4JL2NJAA3UFQ, port=10111
insert localnode=None, key=101111111110, val=1001101111000001
insert localnode=None, key=10010101101, val=111101000000
insert localnode=None, key=1001110111, val=1100100010100101
insert localnode=None, key=10001101001, val=101111111000100
insert localnode=None, key=111111011111, val=1101000010100
insert localnode=None, key=111111001000, val=100001001000100
insert localnode=None, key=1110111000, val=1010000011111100
insert localnode=None, key=100100111010, val=1010011100000101
insert localnode=None, key=111011011001, val=1001001101110101
insert localnode=None, key=110010111100, val=1011110000100
insert localnode=None, key=111010111111, val=10011111110011
insert localnode=None, key=11000100, val=10101000010000
insert localnode=None, key=1001011100, val=1100110101110100
insert localnode=None, key=100011, val=101111010111001
insert localnode=None, key=110111100010, val=1101100101111110
insert localnode=None, key=111001001000, val=101010001010000
insert localnode=None, key=1011011001, val=111010000110100
insert localnode=None, key=100100110010, val=111011001110000
insert localnode=None, key=11011011001, val=1110110101100
insert localnode=None, key=11011001011, val=1100001001011100
insert localnode=None, key=100001001011, val=111001101110111
insert localnode=None, key=100000100101, val=1001000110110100
insert localnode=None, key=110000111000, val=1001110010111101
insert localnode=None, key=110001001101, val=1010110101010011
insert localnode=None, key=111011001101, val=1100101000011011
insert localnode=None, key=111000111100, val=100011110101010
insert localnode=None, key=11000010110, val=10011010001110
insert localnode=None, key=100011011011, val=100100110000000
insert localnode=None, key=110001100101, val=1111000000101011
insert localnode=None, key=100011000001, val=101101111010111
insert localnode=None, key=100011100100, val=110110001101100
insert localnode=None, key=111001110, val=1100010011101001
insert localnode=None, key=101101111, val=1010111000111010
insert localnode=None, key=110100111010, val=1100111111101111
insert localnode=None, key=110011000010, val=101011001000000
insert localnode=None, key=100010111001, val=1101101000111100
insert localnode=None, key=110110110110, val=11010010100111
insert localnode=None, key=11110011001, val=1101101101010010
insert localnode=None, key=11101111010, val=1010111101110011
insert localnode=None, key=110110000110, val=1100110110100111
insert localnode=None, key=101010101110, val=10010100110010
insert localnode=None, key=101101110011, val=111010101111100
insert localnode=None, key=11010010000, val=1011111101011100
insert localnode=None, key=11110111010, val=1101000111010000
insert localnode=None, key=101001011111, val=111111100111111
insert localnode=None, key=110111001111, val=1010100111111100
insert localnode=None, key=101100001110, val=1101100011010010
insert localnode=None, key=100111110100, val=1111111010110001
insert localnode=None, key=111111011111, val=1110010001100011
insert localnode=None, key=11000010001, val=1111111011111111
insert localnode=None, key=110100110000, val=1001111110111101
insert localnode=None, key=111100000, val=10010010110101
insert localnode=None, key=100001111, val=1001010000100110
insert localnode=None, key=11101000001, val=1001100011110101
insert localnode=None, key=11011011110, val=1011000011010001
insert localnode=None, key=111000111, val=1110111000100110
insert localnode=None, key=11101000, val=110000110010111
insert localnode=None, key=111110100011, val=1100100111010001
insert localnode=None, key=111100111011, val=1010101010001011
insert localnode=None, key=11001001011, val=111110000001010
insert localnode=None, key=100010000001, val=100111100111101
insert localnode=None, key=101101110010, val=1100111111101010
insert localnode=None, key=110011111110, val=1010101111011101
insert localnode=None, key=100001101010, val=1101101001010111
insert localnode=None, key=110011100000, val=110111111000110
insert localnode=None, key=10110010001, val=10010011000000
insert localnode=None, key=101110001011, val=1011011111100011
insert localnode=None, key=100001001000, val=101010000100010
insert localnode=None, key=110010100011, val=11100001110
insert localnode=None, key=1101111000, val=1100001110100100
insert localnode=None, key=10000011000, val=1111010111001001
insert localnode=None, key=11101001000, val=1000001110111011
insert localnode=None, key=1001111001, val=11001110001010
insert localnode=None, key=110011000101, val=110111110110
insert localnode=None, key=111101001100, val=1101011000101010
insert localnode=None, key=1001101010, val=111000001001111
insert localnode=None, key=101000101000, val=1000110001000110
insert localnode=None, key=100101100001, val=10010011111101
insert localnode=None, key=100010010, val=1101100011110111
insert localnode=None, key=110101000011, val=110011001011110
insert localnode=None, key=111100011001, val=1110110110110000
insert localnode=None, key=10110001, val=100101011110111
insert localnode=None, key=10100000100, val=1100001000000
insert localnode=None, key=10001101101, val=1010010001100110
insert localnode=None, key=101101000101, val=1110000111111101
insert localnode=None, key=101010111001, val=1111011001010001
insert localnode=None, key=11110000011, val=1110110110
insert localnode=None, key=100001110111, val=1110101101101011
insert localnode=None, key=11011111001, val=1001110001110100
insert localnode=None, key=10001101, val=1100101011011
insert localnode=None, key=10111001, val=1000101001111000
insert localnode=None, key=110100001011, val=1001101111101001
insert localnode=None, key=1001001001, val=11011011001
insert localnode=None, key=11110111111, val=1000010011100
insert localnode=None, key=100010001111, val=100110000001101
insert localnode=None, key=11010001101, val=1010011000000111
insert localnode=None, key=100100111101, val=101110001001
insert localnode=None, key=110110001, val=1000111101110110
insert localnode=None, key=10101000111, val=1101101001011101
insert localnode=None, key=110111111010, val=1001111101110111
insert localnode=None, key=111101010110, val=1010111101010101
insert localnode=None, key=101011100111, val=1100111100111010
insert localnode=None, key=1010001001, val=100100100111111
insert localnode=None, key=11010001111, val=1111111010011011
insert localnode=None, key=100111101001, val=101010110
insert localnode=None, key=10110010010, val=11101111100110
insert localnode=None, key=10100101010, val=1000010001111100
insert localnode=None, key=11000110110, val=1110000011101101
insert localnode=None, key=110000001001, val=1000010111100010
insert localnode=None, key=1101000, val=110000010110011
insert localnode=None, key=11011111000, val=101011011100111
insert localnode=None, key=110001011100, val=1101110111010101
insert localnode=None, key=111100110101, val=101110000101011
insert localnode=None, key=111010110011, val=1100010100111010
insert localnode=None, key=100110100111, val=1101101100010011
insert localnode=None, key=110010111011, val=1110010101010111
insert localnode=None, key=101100110110, val=1011000101001010
insert localnode=None, key=11100011001, val=10000111010000
insert localnode=None, key=101111000111, val=1011010101000011
insert localnode=None, key=1011011010, val=11101010101100
insert localnode=None, key=11001001101, val=1100000101010011
insert localnode=None, key=11110101100, val=10001000101100
insert localnode=None, key=101001000011, val=1110110110011010
insert localnode=None, key=110110011000, val=1000100100111001
insert localnode=None, key=110011110100, val=1000010110011011
insert localnode=None, key=111100110011, val=1111100101001110
insert localnode=None, key=111001110010, val=100101111000100
insert localnode=None, key=11010000100, val=1011010110001000
insert localnode=None, key=100000100100, val=1010010000001001
insert localnode=None, key=110011, val=1101101010110010
insert localnode=None, key=1110100010, val=1001011010110000
insert localnode=None, key=100000110010, val=1110011101000
insert localnode=None, key=100000101101, val=1011001010000010
insert localnode=None, key=10001001100, val=1110011010100111
insert localnode=None, key=110101000101, val=101101111001010
insert localnode=None, key=111110001100, val=1100000010101
insert localnode=None, key=11011011100, val=111001011011
insert localnode=None, key=10011100110, val=1110111110000011
insert localnode=None, key=11000100010, val=1000100111001111
insert localnode=None, key=101110110000, val=1110010011100100
insert localnode=None, key=100100101100, val=1001100111001011
insert localnode=None, key=1101101001, val=111110111101111
insert localnode=None, key=101010111001, val=100010000101
insert localnode=None, key=11000001000, val=11110111000110
insert localnode=None, key=10100000000, val=1101111010100000
insert localnode=None, key=101101000110, val=1001101001001100
insert localnode=None, key=1111011100, val=1010010001111010
insert localnode=None, key=1000100110, val=1011010010100110
insert localnode=None, key=100011010010, val=10011111001001
insert localnode=None, key=10000000000, val=11010010111111
insert localnode=None, key=111011101001, val=1101110010001110
insert localnode=None, key=1000010, val=1000110010100010
insert localnode=None, key=11010100110, val=111000010101011
insert localnode=None, key=11111011010, val=1001010110110
insert localnode=None, key=101010011010, val=1100111110100001
insert localnode=None, key=100110001001, val=1001101000110110
insert localnode=None, key=10010101, val=100001110000100
insert localnode=None, key=110101100, val=100001000001100
insert localnode=None, key=10100111111, val=111010011110110
insert localnode=None, key=11101001000, val=10001100001011
insert localnode=None, key=10111111010, val=10111101
insert localnode=None, key=110000010, val=1010101000010100
insert localnode=None, key=110010110011, val=101100100100001
insert localnode=None, key=100000111100, val=1101000111110100
insert localnode=None, key=100011100000, val=1011110010101000
insert localnode=None, key=100001000111, val=1011111001110010
insert localnode=None, key=111010100110, val=1111000010101001
insert localnode=None, key=100001100010, val=1001010110000001
insert localnode=None, key=11011011010, val=1100001100011111
insert localnode=None, key=101101010101, val=111011011110100
insert localnode=None, key=10001100111, val=1101111100111010
insert localnode=None, key=1101001110, val=10111011000101
insert localnode=None, key=1101101, val=1100001010001100
insert localnode=None, key=111101111101, val=101100110011
insert localnode=None, key=10010011101, val=111011100100100
insert localnode=None, key=110110000100, val=1000001010111001
insert localnode=None, key=111100001011, val=1100100110101101
insert localnode=None, key=101010000001, val=10010011010000
insert localnode=None, key=11111000001, val=1111111110110001
insert localnode=None, key=101101111011, val=11001111101001
insert localnode=None, key=101010011101, val=1111110000001001
insert localnode=None, key=110000001110, val=1111000000101101
insert localnode=None, key=111100110, val=1100110010100
insert localnode=None, key=101111110001, val=1100011000101010
insert localnode=None, key=1110010111, val=11001001011011
insert localnode=None, key=1111001110, val=100101101100
insert localnode=None, key=100011111001, val=1011101001111
insert localnode=None, key=11000110111, val=101100010111001
insert localnode=None, key=111111111000, val=1000010000010011
insert localnode=None, key=1010011000, val=1011011110110001
insert localnode=None, key=100011001, val=1111001100101
insert localnode=None, key=100011001001, val=101111100011101
insert localnode=None, key=111111000001, val=1000010010101010
insert localnode=None, key=111000000010, val=1011011011101110
insert localnode=None, key=1011000010, val=1111011100011010
insert localnode=None, key=11100011010, val=1100101001011011
insert localnode=None, key=11101010000, val=1110001100000101
insert localnode=None, key=101001001, val=1100000010111101
insert localnode=None, key=1111, val=1000111110010000
insert localnode=None, key=11000100111, val=1110100000010000
insert localnode=None, key=101100100101, val=110000001001110
insert localnode=None, key=10110100100, val=1110000010110
insert localnode=None, key=100100110111, val=101100111001100
insert localnode=None, key=111100000, val=1001011101111000
insert localnode=None, key=1001001010, val=1010001111111110
insert localnode=None, key=110011110000, val=11010010011011
insert localnode=None, key=10000110001, val=10000011111100
insert localnode=None, key=110010111000, val=111011011111100
insert localnode=None, key=1010111011, val=10101011111100
insert localnode=None, key=111010100010, val=11011000011110
insert localnode=None, key=101010010110, val=101010011110000
insert localnode=None, key=1111001001, val=110111011011010
insert localnode=None, key=1001111100, val=1010010011110011
insert localnode=None, key=10011101101, val=110111100001111
insert localnode=None, key=100010111100, val=1101001111000000
insert localnode=None, key=111010101001, val=111111000101000
insert localnode=None, key=1001010011, val=1011111101011
insert localnode=None, key=101011011110, val=1100000100111011
insert localnode=None, key=101101110, val=1110010111000000
insert localnode=None, key=10011001000, val=1111011010100100
insert localnode=None, key=100100001001, val=101101010011001
insert localnode=None, key=101101011100, val=1000010011100000
insert localnode=None, key=110001111100, val=1111011010001000
insert localnode=None, key=101000010000, val=1001100001001100
insert localnode=None, key=101111000011, val=1101000110101100
insert localnode=None, key=1111011111, val=1001110001100111
insert localnode=None, key=1010001111, val=10000110001111
insert localnode=None, key=1000010000, val=1000000101100001
insert localnode=None, key=11100000001, val=1010110100010111
insert localnode=None, key=10110111110, val=1101000101010111
insert localnode=None, key=1101111101, val=11011110100100
insert localnode=None, key=100111000111, val=11110010000101
insert localnode=None, key=11111010001, val=11100101100100
insert localnode=None, key=10011010110, val=1101001110101100
insert localnode=None, key=110110100111, val=1100100011001010
insert localnode=None, key=101100111111, val=1000011101111111
insert localnode=None, key=11010110000, val=1011101001111100
insert localnode=None, key=10000110100, val=111111001111101
insert localnode=None, key=100000100001, val=111111000011110
insert localnode=None, key=1010100010, val=100001101011010
insert localnode=None, key=110001110001, val=1001000001001001
insert localnode=None, key=10110100, val=1001101000001100
insert localnode=None, key=1100001001, val=110010011100100
insert localnode=None, key=10110011010, val=1111001001110010
insert localnode=None, key=1011110010, val=111001000100110
insert localnode=None, key=111100011000, val=1111101000110111
insert localnode=None, key=110001101, val=1011001001110101
insert localnode=None, key=110100100100, val=1000101100010011
insert localnode=None, key=10101111001, val=1100111101010011
insert localnode=None, key=11011111011, val=1110101100100000
