nodejoin id=111110101100, ip=CTDV5GQOFSH4, port=1101
nodejoin id=111111110011, ip=S9XM38JC7A3B, port=10
nodejoin id=11010001111, ip=48C118PE3WVO, port=1010
nodejoin id=101101000011, ip=DN4W1U2LT69L, port=1
nodejoin id=100110001111, ip=1OZ087UENMYS, port=101
nodejoin id=11111101001, ip=E0UJXR16MLZL, port=11110
nodejoin id=11100101110, ip=MPB7LX400VMA, port=10110
nodejoin id=1110, ip=W5ACHJPA1ED7, port=110
nodejoin id=1111111001, ip=QBUD4F1XQ841, port=1001
nodejoin id=111110111000, ip=PX0HQNMPLE15, port=10110
nodejoin id=100100000011, ip=T8ELNQO2ZIZZ, port=10000
nodejoin id=101100011011, ip=EWZWR55ZYBE0, port=1
nodejoin id=100110101000, ip=I3QBUHZHYV80, port=1110
nodejoin id=11110010, ip=BR68YIKWD8TC, port=10
nodejoin id=101010111111, ip=MKYDF2QQE3P7, port=10111
nodejoin id=11001111, ip=092P0HTAEN89, port=1101
nodejoin id=1110101011, ip=HZMVTM0EH6IX, port=10000
nodejoin id=10011000100, ip=NL297MCKE6BR, port=10011
nodejoin id=11001011110, ip=K3S6OQ5QQ63O, port=10011
nodejoin id=111110100010, ip=GXCAX1J8IU2Q, port=10100
nodejoin id=1101101100, ip=SWBLL3BAUIMI, port=100
nodejoin id=100111100000, ip=P4000C2QLUGM, port=11011
nodejoin id=10010, ip=1XHG7X2MV5H9, port=11110
nodejoin id=110101110000, ip=S1X3M1WFAUWT, port=11
nodejoin id=1000101001, ip=8DZ7T6SADB8U, port=1001
nodejoin id=110010101011, ip=G9HX83PQJBA2, port=1000
nodejoin id=101001011011, ip=E653AMGAZ81Y, port=11011
nodejoin id=11000110001, ip=QLNRUNG3986R, port=11001
nodejoin id=100000001000, ip=W8XIVJZL7FTJ, port=101
nodejoin id=111001100000, ip=KGIRC7XW2BK3, port=11101
nodejoin id=10000010000, ip=ALEPHI48K1FO, port=1001
nodejoin id=11010100010, ip=1GXS9UEB5CQ0, port=11010
nodejoin id=1001000110, ip=3L2IYTMY4KPV, port=1010
nodejoin id=11110010110, ip=SH4DDMRAZJ44, port=11111
nodejoin id=101000110010, ip=Z7KFUWK0W6YC, port=10101
nodejoin id=110000110111, ip=ABEA9Y7YXGK9, port=10110
nodejoin id=11100110000, ip=04X3NFW5IM86, port=10001
nodejoin id=10000110010, ip=EOSNK15J0YO6, port=10011
nodejoin id=100100101, ip=TX245SD92EQL, port=1111
nodejoin id=1101101011, ip=2Y0RQJ8SX61K, port=1001
nodejoin id=110000010011, ip=7IZRFZE5EPHF, port=101
nodejoin id=10010100010, ip=BFWOA7FJMIO0, port=11000
nodejoin id=111110001, ip=PF786266K04T, port=1111
