nodejoin id=100001101011, ip=IQ3JTEJJOPPL, port=11001
nodejoin id=10111000, ip=OS3SQ9G7KSR7, port=10011
nodejoin id=111000011110, ip=SUUD6P56179G, port=101
nodejoin id=10000101, ip=VLDI6E31FHR2, port=11001
nodejoin id=101111010011, ip=6CSOB9H7DAXB, port=111
nodejoin id=100100000000, ip=3WKWJ92EIR2P, port=11110
nodejoin id=100001001111, ip=87D4SB4DFDM8, port=11111
nodejoin id=10001000100, ip=H2VV8T831ZFS, port=100
nodejoin id=101010011101, ip=FX83Y8VG7NBI, port=11010
nodejoin id=110001100010, ip=9W443QB0J8KF, port=10010
nodejoin id=111101111000, ip=M01EIQ7DO0PE, port=1000
nodejoin id=11011011110, ip=7XLIPYBC5UNU, port=1111
nodejoin id=11111010110, ip=6112APZCMPR0, port=1000
nodejoin id=110011111101, ip=KQL5GPSCGUYS, port=110
nodejoin id=11000101000, ip=W80S95Q4BZS8, port=10001
nodejoin id=101001100010, ip=PJ7F8I0CNUOM, port=11101
nodejoin id=10000011101, ip=Z9PJNV3BY9NE, port=111
nodejoin id=11011101110, ip=L7RSTC1SQQG0, port=11011
nodejoin id=100111101000, ip=JC5VHJ31DZ2P, port=10111
nodejoin id=111110010110, ip=OUWT0528AY3T, port=100
nodejoin id=1111000100, ip=2PURMMF7DN2C, port=10100
nodejoin id=1110100001, ip=756YTJLTYX2O, port=11001
nodejoin id=101111000100, ip=K58DRWXGIM7I, port=1000
nodejoin id=101110000000, ip=I5712WS2CI7C, port=1101
nodejoin id=11011110100, ip=T3VKOL7V373S, port=11001
nodejoin id=1000010110, ip=WTPNFQ1EZUMP, port=10010
nodejoin id=10101100110, ip=FPOGHHLAYYXL, port=10111
nodejoin id=11101111001, ip=QLBF2K7CE41W, port=10010
nodejoin id=10001110, ip=YD8LVB67SMU3, port=10111
nodejoin id=10100010111, ip=HSFMUI1YQMND, port=10101
nodejoin id=10011001101, ip=MF9SQ7OYHEOO, port=11001
nodejoin id=1001011010, ip=17EV09FDLU8P, port=1000
nodejoin id=11111100011, ip=38XJR0Q1ILB0, port=11101
nodejoin id=11111110101, ip=YY14SI5D8EIZ, port=11110
nodejoin id=110100110101, ip=0UJWP1OUCM2Y, port=1001
nodejoin id=111000001111, ip=Y9XQL9BTY6J2, port=10111
nodejoin id=110011001, ip=67GH3S4H0WLI, port=10011
nodejoin id=100110101001, ip=EAZYIZ2S5ZKB, port=0
nodejoin id=111111000001, ip=6TUT6V0WXTPJ, port=11010
nodejoin id=110111000111, ip=3AQ9AJBLOKGC, port=100
nodejoin id=110000001111, ip=XL7A18FDQ28L, port=11011
nodejoin id=100101101000, ip=221VBOVM6TNF, port=11000
nodejoin id=110000010, ip=F5JQ8X3EQ83I, port=10011
nodejoin id=110111001010, ip=J9DXCCFWRAWB, port=11001
nodejoin id=10000000111, ip=LAYQGTHOJ6DK, port=11101
nodejoin id=111011111, ip=JDWDNJWYHV5I, port=10011
nodejoin id=111101001011, ip=Q04MBHF78SYG, port=1101
nodejoin id=11000010111, ip=MPWABEK3CLZW, port=10101
nodejoin id=100101010111, ip=P7LQ3W34CQME, port=10
nodejoin id=1001100, ip=AMXH8E8QOACL, port=11000
insert localnode=None, key=100100111000, val=1111100111101011
insert localnode=None, key=111101010, val=1101011010011100
insert localnode=None, key=110001001, val=1001111000010111
insert localnode=None, key=11100, val=100110101111101
insert localnode=None, key=10111000001, val=1111100000110101
insert localnode=None, key=111011110, val=1010110110110111
insert localnode=None, key=11001001010, val=10011100010000
insert localnode=None, key=111001010111, val=11111011100000
insert localnode=None, key=1101111001, val=1101011101110010
insert localnode=None, key=1100110101, val=101111101011111
insert localnode=None, key=1000100011, val=1100110010111001
insert localnode=None, key=1010100110, val=10100000110100
insert localnode=None, key=100111110110, val=100001000100000
insert localnode=None, key=1101001000, val=10101010100000
insert localnode=None, key=10110110110, val=11000110011100
insert localnode=None, key=11011101011, val=1010000111011010
insert localnode=None, key=111001101, val=1111001100011110
insert localnode=None, key=10010011111, val=100001010101110
insert localnode=None, key=10011001000, val=1100010000110100
insert localnode=None, key=110000001101, val=1010000010110
insert localnode=None, key=11101101100, val=110001011101001
insert localnode=None, key=11100011101, val=101010111011101
insert localnode=None, key=100010111100, val=1000011111010111
