nodejoin id=111101000101, ip=4SWC6C8P3SDK, port=1011
nodejoin id=100101111111, ip=9KY17PKXOEUH, port=11001
nodejoin id=111101110, ip=RU94B5HH8M6U, port=1111
nodejoin id=10100101111, ip=1N9HM5GYCNGW, port=10100
nodejoin id=100110101010, ip=7SO906LWQF5K, port=11100
nodejoin id=111010000100, ip=Q6VEX60MVCSL, port=11000
nodejoin id=100011010100, ip=M0WH4K6OOLW4, port=11111
nodejoin id=10011000001, ip=E590AMHYE6Y9, port=100
nodejoin id=111110011100, ip=E04WZLRU6QUV, port=101
nodejoin id=11001011100, ip=6ZRALSH4PZYI, port=11
nodejoin id=111001110001, ip=UYJXLQIIEZYU, port=1011
nodejoin id=10111111010, ip=3HFV8NMU3NRJ, port=10110
nodejoin id=11011011110, ip=6XO8W0DSSOLD, port=10110
nodejoin id=100100011110, ip=5QECAIM4LOQ6, port=11001
nodejoin id=11011110110, ip=4QEOPG0TOWVT, port=10011
nodejoin id=10010010110, ip=O1I2HRLQ540T, port=110
nodejoin id=101010000110, ip=H7U2404F57GL, port=10001
nodejoin id=110101001011, ip=JGRGFNXTK3X7, port=11110
nodejoin id=10100000111, ip=P2PNNON2ZNSR, port=11010
nodejoin id=10101110000, ip=947EA7PU66TJ, port=1
nodejoin id=1011100101, ip=8IAMLZPXNO38, port=1011
nodejoin id=100101000111, ip=UB68C7Y59PZW, port=110
nodejoin id=101000000110, ip=CH26RLO6DB3P, port=1001
nodejoin id=110101100110, ip=2LGEGA4JK03M, port=11011
nodejoin id=100010010, ip=C2EQMFVW5SYV, port=10001
nodejoin id=110000100111, ip=M3967GZ9S9CJ, port=1101
nodejoin id=11111010101, ip=WW6H3BJVNXQ5, port=1111
nodejoin id=111001111, ip=K4T0M1L1A2ZT, port=11110
nodejoin id=101111110001, ip=2TNOT4HAH7WK, port=1111
nodejoin id=101111110, ip=QZEPVA8JNM03, port=1001
nodejoin id=10110010000, ip=TMKU7HARHND2, port=1001
nodejoin id=101111000, ip=X5X3BHROV4UT, port=10001
nodejoin id=101111101111, ip=7X8Z6QMFL1QL, port=110
nodejoin id=110110011001, ip=ASTVOWDAQV3S, port=1111
nodejoin id=11110001000, ip=XRHDWIEFN9S2, port=10011
nodejoin id=101101111010, ip=J9FC6XZY3269, port=11000
nodejoin id=10101000, ip=W8W84CQACKRH, port=10111
nodejoin id=101000011110, ip=8KZUZGSE7YT6, port=11101
nodejoin id=111000001110, ip=V44NLIX5IYYR, port=1
nodejoin id=110110011101, ip=Q8BI7SDFG8Z2, port=10101
nodejoin id=100011101001, ip=73BDUCAD51SE, port=10010
nodejoin id=11010110111, ip=5U8X2PWI2U5N, port=11010
nodejoin id=10100010111, ip=333Z69PBJFZW, port=11100
nodejoin id=111100100010, ip=0XJCUBYL12NS, port=10
nodejoin id=100101010, ip=O9NQGTA5J15V, port=11001
nodejoin id=11100100, ip=NU3OZFH9XGID, port=11
nodejoin id=111101000000, ip=9XTP0AMJX4MU, port=10010
nodejoin id=111110111101, ip=FOXS9NGGDXCF, port=11010
nodejoin id=1101101000, ip=ZRCYMWHMG8I3, port=11
nodejoin id=11011010111, ip=BSA94ENSY6A8, port=11
insert localnode=None, key=11101100000, val=10010100111
insert localnode=None, key=110111001110, val=111001000000010
insert localnode=None, key=111110001010, val=110011000001
insert localnode=None, key=10001010010, val=1110110001111100
insert localnode=None, key=11101110101, val=1111111000000
insert localnode=None, key=101010110100, val=1111111000001100
insert localnode=None, key=11000101110, val=1011110111101101
insert localnode=None, key=111010110001, val=1111001100100100
insert localnode=None, key=10101001000, val=1010011000001100
insert localnode=None, key=100101101011, val=1101111011010001
insert localnode=None, key=100101111, val=1000001000111010
insert localnode=None, key=111010001011, val=1111110000001101
insert localnode=None, key=10011, val=1111100100100100
insert localnode=None, key=100101100110, val=110110111110111
insert localnode=None, key=1110001011, val=1000111111100110
insert localnode=None, key=11010001110, val=10111000111100
insert localnode=None, key=101011101000, val=1010111011001100
insert localnode=None, key=111101111110, val=1101001101101
insert localnode=None, key=10110110010, val=1101110100100000
insert localnode=None, key=111001111000, val=1110011110010001
insert localnode=None, key=110010101010, val=1011011111011110
insert localnode=None, key=100110011010, val=100011110100101
insert localnode=None, key=110010111110, val=1111001111101011
insert localnode=None, key=100101111000, val=110100111111110
insert localnode=None, key=1000010001, val=1111001111111111
insert localnode=None, key=110011111111, val=110000010110111
insert localnode=None, key=111100010001, val=10011110101000
insert localnode=None, key=11010110000, val=1101011000010110
insert localnode=None, key=100101011101, val=1110010001000011
insert localnode=None, key=1110000010, val=1100001111001111
insert localnode=None, key=11010101101, val=10011010110010
insert localnode=None, key=11101, val=11111110011
insert localnode=None, key=110000010011, val=10111010011111
insert localnode=None, key=100101011100, val=1110011110101110
insert localnode=None, key=10010111, val=1000101100101111
insert localnode=None, key=100111101, val=1001101000110101
insert localnode=None, key=110101011010, val=1101010000110010
insert localnode=None, key=1010110000, val=101110001010100
insert localnode=None, key=101100011001, val=1011001100111000
insert localnode=None, key=101111100100, val=1010110111100
insert localnode=None, key=101111100, val=1111111101100101
insert localnode=None, key=10111111101, val=110101101001110
insert localnode=None, key=10010001001, val=1001101010111000
insert localnode=None, key=100000010, val=11101011001110
insert localnode=None, key=11011101001, val=101000000100011
insert localnode=None, key=11001001101, val=1100011001011000
insert localnode=None, key=101110110101, val=11000100111100
insert localnode=None, key=111011110111, val=101000010101001
insert localnode=None, key=101010001000, val=11011001011100
insert localnode=None, key=1100110111, val=1010111011010111
insert localnode=None, key=101101111, val=100110111001010
insert localnode=None, key=110001101110, val=110111010110010
insert localnode=None, key=1001001, val=1111101110011001
insert localnode=None, key=110100011100, val=111001101010001
insert localnode=None, key=10101101, val=110000001101100
insert localnode=None, key=10110011111, val=100001111010010
insert localnode=None, key=1000001110, val=100001011001001
insert localnode=None, key=100101010010, val=111011010100001
insert localnode=None, key=101000100000, val=1100010000100011
insert localnode=None, key=10001010000, val=110010011010111
insert localnode=None, key=11101100000, val=101110100101001
insert localnode=None, key=110101000100, val=1111111110010110
insert localnode=None, key=11100001011, val=1010101100001101
insert localnode=None, key=10100100000, val=1010011000111001
insert localnode=None, key=101101010110, val=1110000010000010
insert localnode=None, key=10110001111, val=1110011111100100
insert localnode=None, key=111111010100, val=1010110011
insert localnode=None, key=11110011010, val=110000100101100
insert localnode=None, key=111101001100, val=1101010100001
insert localnode=None, key=1111011010, val=100001010011
insert localnode=None, key=111100100000, val=10010100101010
insert localnode=None, key=11001111101, val=100001011001100
insert localnode=None, key=111011011001, val=111000000101001
insert localnode=None, key=110100000001, val=1001000001001
insert localnode=None, key=11101010110, val=10110101111101
insert localnode=None, key=11110000000, val=10100101010010
insert localnode=None, key=1011000010, val=100011000001000
insert localnode=None, key=1011010010, val=111111010001
insert localnode=None, key=10101111, val=1000101011001110
insert localnode=None, key=101111001010, val=1110011011000011
insert localnode=None, key=10101011000, val=11110100010100
insert localnode=None, key=1100011010, val=1001000001111110
insert localnode=None, key=10101111000, val=101000101100010
insert localnode=None, key=10000000111, val=1011000000101101
insert localnode=None, key=10011001000, val=110111100010100
insert localnode=None, key=111011011110, val=1000100111010000
insert localnode=None, key=11101011011, val=100101100000010
insert localnode=None, key=101100110110, val=1111010110110010
insert localnode=None, key=11111011010, val=1000001101010101
insert localnode=None, key=11111100100, val=1001001111011111
insert localnode=None, key=1011001101, val=101110101010110
insert localnode=None, key=101101000000, val=1101110000110001
insert localnode=None, key=10000010000, val=1111100111010000
insert localnode=None, key=111000100001, val=10000110100010
insert localnode=None, key=10000001110, val=1010100110001011
insert localnode=None, key=1110000000, val=1001010000000110
insert localnode=None, key=10001011011, val=11000001111101
insert localnode=None, key=101100000111, val=101010010010100
insert localnode=None, key=1010011101, val=1100011001110111
insert localnode=None, key=100110010101, val=101100001101101
insert localnode=None, key=100010010101, val=1010010101101000
insert localnode=None, key=11001001000, val=10100100101010
insert localnode=None, key=1110100010, val=1110001000011111
insert localnode=None, key=101010011000, val=1111111110011011
insert localnode=None, key=11001000110, val=1000001111001100
insert localnode=None, key=101101111000, val=100010110100000
insert localnode=None, key=1010101100, val=100011101000100
insert localnode=None, key=101110110101, val=1001000000011010
insert localnode=None, key=100101100001, val=11000110100101
insert localnode=None, key=101011111101, val=1100010101100101
insert localnode=None, key=1110101010, val=1110110000010110
insert localnode=None, key=11010001100, val=10100101110001
insert localnode=None, key=101011001011, val=11010000000011
insert localnode=None, key=1000100010, val=1000011011011111
insert localnode=None, key=100110000111, val=1010111011110001
insert localnode=None, key=1011100010, val=11011000101000
insert localnode=None, key=110011100110, val=111110000110
insert localnode=None, key=101101000000, val=1111100100110011
insert localnode=None, key=1110111001, val=1010000110000101
insert localnode=None, key=1111000110, val=110010010111111
insert localnode=None, key=1011010101, val=1101001000
insert localnode=None, key=11011000, val=1111011000001010
insert localnode=None, key=11111101001, val=101010110001110
insert localnode=None, key=110011101, val=1101110010111110
insert localnode=None, key=110010101, val=1111101011111101
insert localnode=None, key=111010111000, val=111110000011
insert localnode=None, key=110001110, val=10000000110110
insert localnode=None, key=100011101100, val=111110110101100
insert localnode=None, key=11001011111, val=1110000000010110
insert localnode=None, key=101011101101, val=1001110011000011
insert localnode=None, key=111100000111, val=1110111010110010
insert localnode=None, key=101000010101, val=10110011100001
insert localnode=None, key=100101001110, val=1110011110011101
insert localnode=None, key=111110001011, val=111010000100100
insert localnode=None, key=1110101, val=110101100100011
insert localnode=None, key=111110110001, val=1110011000011110
insert localnode=None, key=111110011001, val=1100000101101110
insert localnode=None, key=101011011110, val=1000101101110011
insert localnode=None, key=110011111, val=1000110010110001
insert localnode=None, key=101010, val=111011010110101
insert localnode=None, key=111001110000, val=1000100000000110
insert localnode=None, key=11010100010, val=111000010110001
insert localnode=None, key=1101001010, val=1111001111100101
insert localnode=None, key=10110010010, val=1001010111100100
insert localnode=None, key=10000110111, val=111010011000
insert localnode=None, key=101100101100, val=111010101100110
insert localnode=None, key=11010110111, val=11011010011101
insert localnode=None, key=11111111101, val=110001001111001
insert localnode=None, key=10100111010, val=1000111111000110
insert localnode=None, key=110100001011, val=110000010110001
insert localnode=None, key=11101010001, val=11011011010001
insert localnode=None, key=111110010111, val=1010010011000
insert localnode=None, key=110111111011, val=1111110100011
insert localnode=None, key=10110011000, val=100001011
insert localnode=None, key=1110000010, val=1010001101101001
insert localnode=None, key=111000111, val=1001000010011001
insert localnode=None, key=10001100110, val=1000000111110111
insert localnode=None, key=1101110001, val=1000000000010010
insert localnode=None, key=101010001010, val=110100111110
insert localnode=None, key=10100111010, val=1011101111100011
insert localnode=None, key=111010000000, val=1010111111111111
insert localnode=None, key=11010110110, val=110011010111110
insert localnode=None, key=111101011, val=1111001000010110
insert localnode=None, key=110010111, val=1101010011110010
insert localnode=None, key=11000011100, val=1101010001111001
insert localnode=None, key=100010000101, val=10010111100111
insert localnode=None, key=110110111001, val=10110110100110
insert localnode=None, key=101110100101, val=1011111000010100
insert localnode=None, key=1000101101, val=101110111100001
insert localnode=None, key=110000000101, val=111111110110000
insert localnode=None, key=10101011110, val=1010110001101010
insert localnode=None, key=101111000001, val=1101001001010
insert localnode=None, key=101000101110, val=110101100111110
insert localnode=None, key=100001000001, val=101101110111100
insert localnode=None, key=111101111010, val=1100110010001111
insert localnode=None, key=100111010111, val=101100000001101
insert localnode=None, key=11011110010, val=1100000110111101
insert localnode=None, key=11100001010, val=1000010111110011
insert localnode=None, key=101001011111, val=1001101000
insert localnode=None, key=100111101110, val=1110010000110000
insert localnode=None, key=11011010101, val=1110101011100000
insert localnode=None, key=10111000001, val=1111000100110010
insert localnode=None, key=11010001111, val=1100100001110010
insert localnode=None, key=110011101100, val=1101000010100110
insert localnode=None, key=101100101, val=1011010010011011
insert localnode=None, key=100110011, val=101110111001000
insert localnode=None, key=10001100111, val=111111100010000
insert localnode=None, key=100010, val=1011010001000110
insert localnode=None, key=100111010011, val=110110100000001
insert localnode=None, key=1011100101, val=1000011010
insert localnode=None, key=10010100000, val=101010110111111
insert localnode=None, key=100101010010, val=110011011011101
insert localnode=None, key=111011111010, val=11100111100010
insert localnode=None, key=110111011011, val=1000000111000011
insert localnode=None, key=110111110010, val=10010000010101
insert localnode=None, key=110000111000, val=1101100100000001
insert localnode=None, key=101000101, val=1100010111111001
insert localnode=None, key=101100100011, val=111001000011001
insert localnode=None, key=101000010010, val=1011011101110100
insert localnode=None, key=110110100111, val=11111100101
insert localnode=None, key=101001010110, val=1110111010001
insert localnode=None, key=111011000100, val=1000011110110011
insert localnode=None, key=11010011011, val=1110000101110011
insert localnode=None, key=100100001011, val=100110010101000
insert localnode=None, key=10001010001, val=10100110111001
insert localnode=None, key=111101110010, val=101010100000000
insert localnode=None, key=10101010001, val=1010000010111100
insert localnode=None, key=100000001111, val=1101001100100100
insert localnode=None, key=10101010011, val=101011110100001
insert localnode=None, key=11011010100, val=101100100000110
insert localnode=None, key=111111000, val=101101111101010
insert localnode=None, key=110100110110, val=1011111101010101
