nodejoin id=100010010110, ip=WJ9ZG7GV6LQL, port=11111
nodejoin id=1001100000, ip=87P6MWYPXXZX, port=1
nodejoin id=111110000000, ip=SO6VWM6KFUDJ, port=10001
nodejoin id=110100001, ip=LH2FE4YKNX3D, port=1011
nodejoin id=101011011010, ip=AHW8PDFNSDYS, port=111
nodejoin id=100000110111, ip=N6H15DSTEGBQ, port=111
nodejoin id=111100, ip=Z71Y61QKSB9W, port=11111
nodejoin id=10001100000, ip=570I1L3OELIH, port=11
nodejoin id=101101111, ip=EXO46Q6S6UXT, port=10101
nodejoin id=11000101110, ip=PAWBSDLIPYVQ, port=10101
nodejoin id=11100000001, ip=ZHGMKXJZV4WW, port=10100
nodejoin id=110001111011, ip=14BC5VMSS0DF, port=10110
nodejoin id=1111011010, ip=WGVHMGIMNKK0, port=1100
nodejoin id=100100111110, ip=RK1NGEX96WSY, port=11
nodejoin id=110010111011, ip=X5SX82Q8QW7I, port=1011
nodejoin id=11000100101, ip=K6M0D3D6AAKP, port=10
nodejoin id=110100000, ip=I0QEBFWF5BOX, port=10110
nodejoin id=1111111101, ip=PC14IZUQ27AF, port=11100
nodejoin id=110001111111, ip=C0PPT0LI23EA, port=11000
nodejoin id=100100111111, ip=EHBFE2CAWOYC, port=1100
nodejoin id=111110110011, ip=GHP5S6C85LDJ, port=100
nodejoin id=101011001000, ip=QDIJBV10T6MV, port=10
nodejoin id=110110111110, ip=ZYDQ1W8U3NAZ, port=1
nodejoin id=100111010010, ip=4H1MX98QLVNK, port=10011
nodejoin id=11110010110, ip=TR70KNQV7K8T, port=10110
nodejoin id=10001011100, ip=1TJQGPM6HETG, port=11000
nodejoin id=100101100001, ip=283G9EDRWIHI, port=10
nodejoin id=100100110001, ip=TKUUPFR8P9L6, port=1001
nodejoin id=1100010100, ip=5TYJTPDXGZ77, port=10110
nodejoin id=101011011101, ip=5RZMOFZU7CKP, port=1101
nodejoin id=11011011010, ip=44OOA1SW4APX, port=11110
nodejoin id=1111101001, ip=83U980W64385, port=1111
nodejoin id=100100101100, ip=2OEXW19VO7E7, port=10101
nodejoin id=11110110000, ip=Q0D32LVLAW20, port=11110
nodejoin id=11111010011, ip=QDU63HH3Y7XX, port=1111
nodejoin id=110111111011, ip=OZ9R7O0T4AGJ, port=1101
nodejoin id=100000100000, ip=D7Y8JU7YN9W4, port=10111
nodejoin id=11110011101, ip=QFM6OPIHS6JP, port=10010
nodejoin id=101001101011, ip=6L1NIWOXWKJE, port=1001
nodejoin id=111010101001, ip=33G4K5VGI9X9, port=11110
nodejoin id=1100111011, ip=MVW8Q6IJ193H, port=11
nodejoin id=111110010, ip=6JQZ1DLF20L6, port=1100
nodejoin id=11000110010, ip=XDGMRELRJU7L, port=10111
nodejoin id=101101011011, ip=23ROS9CU0W2C, port=11000
nodejoin id=100001010111, ip=6AW8GCD3RSCV, port=101
nodejoin id=101111101010, ip=GY3WWXX0OASR, port=11010
nodejoin id=110011110010, ip=NB618GL91HRQ, port=1011
nodejoin id=11111011, ip=SYG0KV47IW6M, port=111
nodejoin id=10001000001, ip=GRJ056FY4J2M, port=1101
nodejoin id=1101101011, ip=C1FEHW1AO2V4, port=10010
insert localnode=None, key=11100011, val=1100101011001100
insert localnode=None, key=11011000, val=1001111001110011
insert localnode=None, key=100110100101, val=1111000101101001
insert localnode=None, key=110010000000, val=100011111001001
insert localnode=None, key=1101110110, val=1001100110111010
insert localnode=None, key=10011111111, val=1110000111010110
insert localnode=None, key=101011111000, val=111100111010111
insert localnode=None, key=1000011001, val=1011111111100010
insert localnode=None, key=110110110001, val=101111000010101
insert localnode=None, key=100101110, val=1100010000101
insert localnode=None, key=1110110000, val=1001010111111
insert localnode=None, key=1010011101, val=1110111110010110
insert localnode=None, key=11111011010, val=10001001101001
insert localnode=None, key=100011010100, val=111011100010000
insert localnode=None, key=101001001, val=111111111011100
insert localnode=None, key=11111100111, val=1010000010101101
insert localnode=None, key=1000110100, val=11100001110001
insert localnode=None, key=111011100101, val=10001000111011
insert localnode=None, key=111000011011, val=1110100111011010
insert localnode=None, key=11001100110, val=111101001010110
insert localnode=None, key=1001011010, val=111110111110000
insert localnode=None, key=111001110110, val=110001110100001
insert localnode=None, key=110010100, val=1000000001111011
insert localnode=None, key=1101111101, val=11001000000100
insert localnode=None, key=100111100001, val=1100010100010111
insert localnode=None, key=10111100110, val=110011001000
insert localnode=None, key=10111101100, val=110101110100101
insert localnode=None, key=111010011011, val=10101100111000
insert localnode=None, key=11110111, val=1110011001010110
insert localnode=None, key=1110000100, val=111101111111010
insert localnode=None, key=110100010, val=100000110100101
insert localnode=None, key=111001111111, val=101110101011001
insert localnode=None, key=11110001100, val=1011010101001101
insert localnode=None, key=101100100011, val=1000111100111100
insert localnode=None, key=111110101011, val=1000000101010101
insert localnode=None, key=111111001, val=101100101100011
insert localnode=None, key=101100110010, val=1011010001101110
insert localnode=None, key=10111100101, val=101001001100101
insert localnode=None, key=11010100000, val=110111111101010
insert localnode=None, key=111101111100, val=1011111111110
insert localnode=None, key=1110111001, val=110110010011011
insert localnode=None, key=11110000111, val=111010000110000
insert localnode=None, key=11011111001, val=1110101101110101
insert localnode=None, key=110001111000, val=11000001101010
insert localnode=None, key=1001011110, val=1100001110010011
insert localnode=None, key=101100001000, val=110110000000011
insert localnode=None, key=1111101101, val=1000110111111111
insert localnode=None, key=111110010001, val=100001110000010
insert localnode=None, key=1010100001, val=100101101110010
insert localnode=None, key=11010000010, val=100011000010010
insert localnode=None, key=101110000101, val=1011111010110
insert localnode=None, key=1111001011, val=1110101011000110
insert localnode=None, key=111010001100, val=1101011011011110
insert localnode=None, key=11110111101, val=1110011000110101
insert localnode=None, key=111011011100, val=110001101000011
insert localnode=None, key=11100010000, val=110101101000010
insert localnode=None, key=10110100110, val=101101011111001
insert localnode=None, key=1110111100, val=100011011010
insert localnode=None, key=110000011, val=1100000100010
insert localnode=None, key=1011011000, val=1001000101100011
insert localnode=None, key=10100100011, val=1011100001111000
insert localnode=None, key=101101101011, val=1101110011000010
insert localnode=None, key=111100110000, val=100000011110000
insert localnode=None, key=101001100100, val=101010010000000
