nodejoin id=10100011101, ip=W5VO4EOEOG6M, port=1111
nodejoin id=1010111100, ip=66JOH9F408XG, port=10100
nodejoin id=101010100011, ip=16RSPKWUU14D, port=0
nodejoin id=110110011100, ip=40406MNHEEOH, port=1
nodejoin id=111111101001, ip=VD8UCBAZZDBS, port=1111
nodejoin id=111011000001, ip=HI8WUNDVY87Q, port=11001
nodejoin id=1100100100, ip=9JLGTR8YQHVW, port=11111
nodejoin id=11001101100, ip=O9QNU2251IEC, port=10111
nodejoin id=111011000000, ip=YT5YNX01AUI4, port=10001
nodejoin id=100101011010, ip=3FMLO0F8BWO9, port=10101
nodejoin id=11010011000, ip=BFYZ21HWJ0YB, port=10001
nodejoin id=100101010111, ip=QV1DO3F03Y7Z, port=1
nodejoin id=11001101100, ip=UCU0TN8R6J5I, port=10101
nodejoin id=1101001010, ip=MU06W3YG2L47, port=111
nodejoin id=10011011110, ip=HY3PG4YR462N, port=11011
nodejoin id=111000100110, ip=P25HRIXK5H7M, port=1001
nodejoin id=10000001100, ip=I1VYOCULFWUM, port=10
nodejoin id=100100111011, ip=P2AG1OLY5DLU, port=1111
nodejoin id=1111101000, ip=UMHSK6I2UPIC, port=11100
nodejoin id=101110100011, ip=NB60TM32GXQG, port=11000
nodejoin id=11100101010, ip=CUWM2O07XYJM, port=11011
nodejoin id=110100001100, ip=CEI2D6LYA32O, port=10100
nodejoin id=10010001000, ip=WXBSIA9XNPAJ, port=1100
nodejoin id=111101110, ip=HQEWBIF5B93M, port=100
nodejoin id=110000010100, ip=YXYPN5CWC0L5, port=101
nodejoin id=110010100, ip=3XCGZU5KP1TY, port=1001
nodejoin id=110101000001, ip=W5LAT2RHTDYC, port=1000
nodejoin id=101100010101, ip=6CD5T9SLUU1B, port=1110
nodejoin id=110010111100, ip=PTYDZYN38RY7, port=10011
nodejoin id=1110001110, ip=R7DGBIOMX2TD, port=10100
nodejoin id=111001110101, ip=K6ZNDRPCL0FZ, port=10111
nodejoin id=101100000011, ip=0538YSB7QIET, port=11101
nodejoin id=100001101100, ip=Y7PTK0T82CK6, port=110
nodejoin id=10011000110, ip=60ZGW9NDM1OO, port=11001
nodejoin id=100001000, ip=MZK13315EGEE, port=11111
nodejoin id=101101011001, ip=8Q1WG2P9AKMU, port=0
nodejoin id=10010111110, ip=A1I1S3M2I6GG, port=1100
nodejoin id=111111001101, ip=OMA5LG652DKE, port=1001
nodejoin id=1100111, ip=ZMGHRL10KVN5, port=1111
nodejoin id=110100111001, ip=3QQKVG8Y2LP3, port=10010
nodejoin id=1001100001, ip=HLNA6WVHPLKC, port=11011
nodejoin id=10011011001, ip=CTBY6OJLQ74C, port=1100
nodejoin id=110101011110, ip=QNA7261FI62B, port=11011
nodejoin id=11101001011, ip=XMQBYVD30JPV, port=11011
nodejoin id=11010000001, ip=UMVXM30T50GK, port=1100
nodejoin id=111001101, ip=9DYO8PDVZME2, port=1010
nodejoin id=110011111000, ip=D36G77H9NC8J, port=1010
nodejoin id=10010100, ip=NWSXH2STCX8Q, port=11011
nodejoin id=101111010011, ip=JVDEJXRT0RMZ, port=100
nodejoin id=1010110111, ip=5A5624JPNT7W, port=11101
nodejoin id=101011111, ip=MSTP0HE5WVUF, port=11111
nodejoin id=111011011101, ip=66BXT98QV40E, port=10
nodejoin id=1011, ip=NY3YCDDPZ8HJ, port=100
nodejoin id=100001110100, ip=DZGKJY039PQR, port=101
nodejoin id=10111111, ip=IY2RDSOX1ZK7, port=11101
nodejoin id=10001111100, ip=BMAOGRUXU4YS, port=11001
nodejoin id=111000001100, ip=GH7C8FGKDG4X, port=10000
nodejoin id=111111110110, ip=DKS4P736HWMF, port=11010
nodejoin id=1010100011, ip=N2DPHJWE7N61, port=10111
nodejoin id=11001101110, ip=D15UVFR47Y4J, port=10010
nodejoin id=100010101101, ip=YMWG5LU2C1A2, port=100
nodejoin id=110010111, ip=4QC4AYVHFDP5, port=11000
nodejoin id=110010100110, ip=I763W994WSWF, port=10
nodejoin id=10, ip=ILWBBHT5E2B4, port=11111
nodejoin id=111101, ip=O24UIWVJZIY9, port=11
nodejoin id=111101001110, ip=DOT2HFXM0BEW, port=11110
nodejoin id=110110110111, ip=IGPC1GBJCYRQ, port=1
nodejoin id=110101110, ip=NM1W20X5ANUO, port=1100
nodejoin id=111001011110, ip=KW226316PXX9, port=1000
nodejoin id=100101000000, ip=ZKQ8BTK41CNX, port=11101
nodejoin id=110000100001, ip=ABIA8YCJVKIE, port=11011
nodejoin id=101001110010, ip=1O1549PU1AC1, port=10101
nodejoin id=111011001, ip=F15Q6MHRB7HV, port=100
nodejoin id=110001110, ip=EVJ6Q0GBJ10N, port=11000
nodejoin id=100101101011, ip=43YBVHJW7P8L, port=1011
nodejoin id=10101000101, ip=0NSELQJMGZN8, port=11111
nodejoin id=111010100011, ip=DTWQKHAK6F9R, port=11111
nodejoin id=11100010101, ip=EIL5WA51V8RQ, port=10001
nodejoin id=1110010101, ip=L3J5RI4H72LV, port=1110
nodejoin id=101000100011, ip=OKE8DQ8CQ941, port=11101
nodejoin id=10110101110, ip=F4OTRKYV8DPF, port=1000
nodejoin id=10101000110, ip=R6FQWHPEHCHS, port=100
nodejoin id=100110110111, ip=USARMR9HGDMG, port=11
nodejoin id=11010010100, ip=5P4U6V6KAYBU, port=10101
nodejoin id=10010101010, ip=4KMUG6IQFGN4, port=1100
nodejoin id=111011010101, ip=AYC2DWQUW1AI, port=1000
nodejoin id=10111000001, ip=MKC6QIYK66BL, port=10110
nodejoin id=1011101, ip=4CPNJO7H270R, port=11010
nodejoin id=10001100100, ip=RYAYH5NL2OVB, port=11
nodejoin id=110000010100, ip=O9WS3QWJJ1LP, port=1000
nodejoin id=110110000001, ip=XRIO68BOH3BB, port=10
nodejoin id=11010001110, ip=4FQSNUH97YIW, port=10101
nodejoin id=11100011010, ip=PYTIBXYAY31F, port=1001
nodejoin id=1011011011, ip=8MJAG85IIO1Y, port=101
nodejoin id=10001101001, ip=6CYYB7OBW892, port=11110
nodejoin id=11110100011, ip=7VXPL2O97M28, port=1010
nodejoin id=111101011101, ip=T0S5LF4U0DKO, port=11111
nodejoin id=11000101, ip=RZ00VE3SXI00, port=1
nodejoin id=101111000001, ip=PFAOYNO9LW8M, port=11010
nodejoin id=10100101000, ip=4X0Q7JMVE60E, port=10
insert localnode=None, key=111001001010, val=11001010010110
insert localnode=None, key=101001011001, val=1011010110010110
insert localnode=None, key=111000101011, val=1111000001110111
insert localnode=None, key=1000011110, val=101101100010011
insert localnode=None, key=1110101100, val=1011110000100100
insert localnode=None, key=101110011010, val=1010111100110
insert localnode=None, key=11010111011, val=10101100001011
insert localnode=None, key=1010000010, val=110100001010011
insert localnode=None, key=100011010110, val=1100110001000100
insert localnode=None, key=111010111110, val=1100110001100110
insert localnode=None, key=110110000100, val=101110110011111
insert localnode=None, key=110101101011, val=1001111100010
insert localnode=None, key=100000010010, val=1011100101000010
insert localnode=None, key=110101000010, val=11001010101
insert localnode=None, key=101010001101, val=10100110111111
insert localnode=None, key=1111100111, val=10100000000001
insert localnode=None, key=100100010000, val=1001001101001011
insert localnode=None, key=101100100100, val=110111100100110
insert localnode=None, key=110000111, val=110001100100111
insert localnode=None, key=111101101110, val=1011110101001011
insert localnode=None, key=110001101100, val=1010010100101100
insert localnode=None, key=10001101, val=1011001011010111
insert localnode=None, key=111001011011, val=1110011010010001
insert localnode=None, key=111011011110, val=1001111100001111
insert localnode=None, key=100101000010, val=101111010101110
insert localnode=None, key=111011000101, val=11010101101101
insert localnode=None, key=10100, val=110000111100100
insert localnode=None, key=1101100001, val=100100011100100
insert localnode=None, key=100110010000, val=110111011100011
insert localnode=None, key=11001011010, val=10111011100100
insert localnode=None, key=11011010000, val=1001110000000110
insert localnode=None, key=101000, val=1100110011000111
insert localnode=None, key=111011000100, val=1100111011100010
insert localnode=None, key=100001100111, val=1100101110101101
insert localnode=None, key=111011001010, val=1101101010001
insert localnode=None, key=100000101010, val=1010001101010
insert localnode=None, key=10100011011, val=101011001010100
insert localnode=None, key=100100111111, val=1000101001010101
insert localnode=None, key=100101011011, val=110000101110111
insert localnode=None, key=110000101011, val=1011001001011000
insert localnode=None, key=111011001100, val=111011101011111
insert localnode=None, key=100111101001, val=1101100010000010
insert localnode=None, key=11100000010, val=1000111110011010
insert localnode=None, key=101100000000, val=1101100110010
insert localnode=None, key=11101001111, val=1111000110101101
insert localnode=None, key=111000011000, val=110010100001101
insert localnode=None, key=100010011001, val=1000001010010101
insert localnode=None, key=100100110101, val=1101101100101000
insert localnode=None, key=110010010011, val=1110100001010
insert localnode=None, key=10011100101, val=11101001011110
insert localnode=None, key=110000111110, val=1111011101110001
insert localnode=None, key=11001001010, val=1011000011010001
insert localnode=None, key=101000111000, val=1010011000101001
insert localnode=None, key=10100010110, val=1100011000100101
insert localnode=None, key=10011101001, val=1001111010000001
insert localnode=None, key=1000100010, val=10010101110100
