nodejoin id=0, ip=1W7O9SQOVI2X, port=111
nodejoin id=1, ip=TWI9NAU3SXUI, port=1011
nodejoin id=1000100, ip=IRS2IP3XQDFR, port=1000
nodejoin id=10101110, ip=0H24N3HZYGPR, port=101
nodejoin id=11111110, ip=DPAY5JF70BBK, port=0
insert localnode=None, key=11111100, val=1110000110100011
insert localnode=None, key=0, val=1100101000110001
insert localnode=None, key=11110, val=1010011101101110
insert localnode=None, key=111100, val=1001011010001010
insert localnode=None, key=1100, val=1010111100001
insert localnode=None, key=1001101, val=11001010000
insert localnode=None, key=10011110, val=1001101011110
insert localnode=None, key=10101101, val=110001000110110
insert localnode=None, key=1101011, val=1010100110101000
insert localnode=None, key=10000111, val=1100011011111000
