nodejoin id=DKFZQ6AD, ip=DW7XVIHTYDCF, port=51563, contact_node=None
nodejoin id=IQEZESES, ip=KY49F714E9IQ, port=13593, contact_node=None
nodejoin id=D60097WC, ip=G0Q2LC7UI1Q5, port=34026, contact_node=None
nodejoin id=7F1OYT7A, ip=USK4IZ7Z9UFD, port=00774, contact_node=None
nodejoin id=U9QR4FKA, ip=KFUX55477CB2, port=58669, contact_node=None
nodejoin id=XLRL9PWY, ip=ABBXFX3ETZ99, port=04565, contact_node=None
nodejoin id=0V9LLMFS, ip=412ZB3WFSTTM, port=14031, contact_node=None
nodejoin id=V30KUBY9, ip=BKP78V3N2ZQ5, port=12505, contact_node=None
nodejoin id=1APFRDNY, ip=B6UBFH5TXDCQ, port=32284, contact_node=None
nodejoin id=IC2Y0POO, ip=408W0UEODJCW, port=17880, contact_node=None
nodejoin id=SHBE6T9Y, ip=59FF19JE1TWP, port=64766, contact_node=None
nodejoin id=5G9PW0BT, ip=YHBEM4FTJLJ9, port=38181, contact_node=None
nodejoin id=AN7JIW2R, ip=VXYBCP56UNDD, port=19987, contact_node=None
nodejoin id=CNMM9KBI, ip=KQIUWTPT7ONE, port=22277, contact_node=None
nodejoin id=OB5OZDHS, ip=CLOQOKPF244U, port=72140, contact_node=None
nodejoin id=TWGS8Z3J, ip=D296WJZCIO3H, port=38758, contact_node=None
nodejoin id=SOFZL7QB, ip=IY0E65JQX6FA, port=60630, contact_node=None
nodejoin id=VEOORDKN, ip=8535SODI0BG0, port=18176, contact_node=None
nodejoin id=CUZBZ7EK, ip=VVE3XKJ1WOPH, port=65171, contact_node=None
nodejoin id=MC535J9B, ip=249T5LW2I11S, port=32144, contact_node=None
insert key=05083013, val=3026067038716755
insert key=32459505, val=8892334288518986
insert key=40282252, val=2254775324880754
insert key=35104913, val=1529797598539037
insert key=52360313, val=2984558922292408
insert key=34446671, val=6677408399991115
insert key=07419860, val=0401949868708789
insert key=47699363, val=1958312288817177
insert key=74049318, val=0338783179795640
insert key=41511183, val=2102151183888498
insert key=55525318, val=2219115200937192
insert key=68332915, val=6623613892500264
insert key=99215699, val=9381169704477559
insert key=17271890, val=7058157138843703
insert key=95034089, val=4602926409807851
insert key=93398208, val=0636921266769619
insert key=33186853, val=6344786896163443
insert key=97707450, val=2269927402970528
insert key=07951988, val=4370115468528640
insert key=58804213, val=2440092729821628
insert key=27277040, val=6815059660093263
insert key=46568792, val=1287755999165729
insert key=73620171, val=9959120058513039
insert key=78443794, val=8814628754638217
insert key=21227018, val=6476797517172276
insert key=33147281, val=7171338171827829
insert key=11338151, val=4349324004000147
insert key=53725445, val=4761148528472523
insert key=61002577, val=8870106809353789
insert key=00180545, val=6113130688698834
insert key=02180304, val=8051264981508664
insert key=24126817, val=9375077593549050
insert key=12829712, val=0944051450843314
insert key=93090135, val=6360436107977279
insert key=53845228, val=9804828569130822
insert key=66284595, val=5601899934227570
insert key=68863417, val=4764801486186572
insert key=00067847, val=9679245504845647
insert key=99705000, val=3769873246232327
insert key=64198968, val=9485089294781187
insert key=52459418, val=3696576933078076
insert key=85648279, val=0436041303780093
insert key=25936825, val=0850976804138670
insert key=51415460, val=8779690967536536
insert key=71997216, val=4248073104783026
insert key=51342882, val=0550847654844022
insert key=42561620, val=0419104644744437
insert key=76375357, val=9047633493044093
insert key=21418770, val=1406247125264214
insert key=21428176, val=1050215464205473
insert key=06193488, val=8049048581483683
insert key=34828917, val=1865977655457346
insert key=59174449, val=2614775100445350
insert key=70374651, val=0855239264411246
insert key=56016444, val=7147980718326557
insert key=56092122, val=7907785128458593
insert key=95319767, val=8052954110617083
insert key=53944966, val=1807899339642454
insert key=42988829, val=5354027106223948
insert key=37823731, val=3738323518888647
insert key=49508471, val=5284442667278828
insert key=18153558, val=3772742431610690
insert key=49484782, val=7632755126764201
insert key=79734683, val=6048757073079405
insert key=82386776, val=0714488919429803
insert key=79645997, val=7780472790748513
insert key=93612710, val=1381698352454115
insert key=58982692, val=6661485432427037
insert key=82668504, val=6311972419314313
insert key=14921984, val=8357054934376067
insert key=17994578, val=3299944211586279
insert key=47347229, val=2346237734823216
insert key=36398404, val=6655782461852989
insert key=33462241, val=9309879111369878
insert key=61216543, val=8526227088498416
insert key=79105116, val=9589371165823905
insert key=96625525, val=4403689836037562
insert key=82690983, val=2754040941441228
insert key=85635899, val=2323772194337231
insert key=65299900, val=7493100261818120
insert key=53828540, val=6885443359086750
insert key=91838307, val=3645616586579190
insert key=29514619, val=5770073383000523
insert key=60721839, val=9990353876782234
insert key=57118584, val=5616621319488429
insert key=99496835, val=0854218244737061
insert key=72688386, val=0141661559817809
insert key=09204392, val=8753188685580210
insert key=42196798, val=2439474968464240
insert key=18264322, val=9323726361464378
insert key=42850282, val=6587743422375350
insert key=35960513, val=9295483206569785
insert key=84199483, val=1946906373578555
insert key=20347216, val=3628169562528049
insert key=54805220, val=8699608887250560
insert key=88803108, val=0550856712204934
insert key=17005146, val=2379759732483554
insert key=89848106, val=0054187355815993
insert key=90533274, val=3989149888638317
insert key=40463711, val=4779534199039706
