insert key=48635851, val=6282592950162505
look-up localnode=YD6LEEZC, key=51751064
insert key=96653555, val=4216335114022518
insert key=71630319, val=3427488426942223
look-up localnode=LTG5LJ6G, key=55002801
insert key=34927324, val=1855888319263381
insert key=04807028, val=7663100196489867
insert key=26797718, val=8848112470041979
insert key=05890489, val=0634249059782728
look-up localnode=TAZD4WWS, key=23211834
look-up localnode=TAZD4WWS, key=23211834
look-up localnode=LTG5LJ6G, key=43375044
insert key=22341762, val=6801162021785780
insert key=82307793, val=8230201078625886
insert key=92676380, val=2884832203692291
insert key=41232694, val=7394811076456367
insert key=74213306, val=7186797671239005
insert key=38644517, val=2233579598716569
insert key=51203090, val=6247252880055251
insert key=86325051, val=7732196159544009
look-up localnode=YD6LEEZC, key=51751064
insert key=65785582, val=5102268042952791
insert key=58408467, val=1797342210926259
insert key=32068967, val=1409624179387014
insert key=57874240, val=6627551730051683
insert key=09829349, val=7038311327732640
insert key=43707018, val=1162002620568483
insert key=41811066, val=8991123977658837
look-up localnode=YD6LEEZC, key=43707018
insert key=44670463, val=0545204801847941
